Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,5
2020-03-16,12
2020-03-23,21
2020-03-30,29
2020-04-06,48
2020-04-13,99
2020-04-20,206
2020-04-27,198
2020-05-04,184
2020-05-11,304
2020-05-18,271
2020-05-25,261
2020-06-01,224
2020-06-08,202
2020-06-15,205
2020-06-22,223
2020-06-29,291
2020-07-06,299
2020-07-13,392
2020-07-20,297
2020-07-27,264
2020-08-03,286
2020-08-10,320
2020-08-17,260
2020-08-24,263
2020-08-31,262
2020-09-07,210
2020-09-14,278
2020-09-21,257
2020-09-28,103
2020-10-05,112
2020-10-12,106
2020-10-19,246
2020-10-26,588
2020-11-02,1012
2020-11-09,1407
2020-11-16,949
2020-11-23,510
2020-11-30,561
2020-12-07,413
2020-12-14,244
2020-12-21,205
2020-12-28,257
2021-01-04,294
2021-01-11,177
2021-01-18,127
2021-01-25,114
2021-02-01,130
2021-02-08,354
2021-02-15,156
2021-02-22,43
2021-03-01,62
2021-03-08,97
2021-03-15,202
2021-03-22,570
2021-03-29,527
2021-04-05,487
2021-04-12,742
2021-04-19,746
2021-04-26,838
2021-05-03,412
2021-05-10,485
2021-05-17,520
2021-05-24,284
2021-05-31,216
2021-06-07,213
2021-06-14,166
2021-06-21,134
2021-06-28,86
2021-07-05,122
2021-07-12,161
2021-07-19,197
2021-07-26,224
2021-08-02,266
2021-08-09,324
2021-08-16,386
2021-08-23,390
2021-08-30,330
2021-09-06,260
2021-09-13,442
2021-09-20,410
2021-09-27,478
2021-10-04,486
2021-10-11,488
2021-10-18,600
2021-10-25,488
2021-11-01,717
2021-11-08,779
2021-11-15,849
2021-11-22,738
2021-11-29,972
2021-12-06,570
2021-12-13,436
2021-12-20,460
2021-12-27,1070
2022-01-03,1632
2022-01-10,1641
2022-01-17,1291
2022-01-24,954
2022-01-31,570
2022-02-07,365
2022-02-14,266
2022-02-21,192
2022-02-28,176
2022-03-07,143
2022-03-14,131
2022-03-21,129
2022-03-28,85
2022-04-04,110
2022-04-11,118
2022-04-18,137
2022-04-25,167
2022-05-02,260
2022-05-09,261
2022-05-16,267
2022-05-23,243
2022-05-30,201
2022-06-06,222
2022-06-13,180
2022-06-20,223
2022-06-27,167
2022-07-04,201
2022-07-11,212
2022-07-18,261
2022-07-25,279
2022-08-01,245
2022-08-08,213
2022-08-15,271
2022-08-22,257
2022-08-29,230
2022-09-05,167
2022-09-12,208
2022-09-19,177
2022-09-26,142
2022-10-03,136
2022-10-10,163
2022-10-17,152
2022-10-24,135
2022-10-31,136
2022-11-07,134
2022-11-14,122
2022-11-21,106
2022-11-28,170
2022-12-05,168
2022-12-12,196
2022-12-19,123
2022-12-26,109
2023-01-02,88
2023-01-09,68
2023-01-16,65
2023-01-23,70
2023-01-30,79
2023-02-06,89
2023-02-13,79
2023-02-20,103
2023-02-27,77
2023-03-06,69
2023-03-13,82
2023-03-20,69
2023-03-27,62
2023-04-03,47
2023-04-10,56
2023-04-17,24
2023-04-24,31
2023-05-01,23
2023-05-08,27
2023-05-15,16
2023-05-22,21
2023-05-29,48
2023-06-05,20
2023-06-12,14
2023-06-19,15
2023-06-26,5
2023-07-03,10
2023-07-10,13
2023-07-17,20
2023-07-24,8
2023-07-31,17
2023-08-07,22
2023-08-14,19
2023-08-21,37
2023-08-28,36
2023-09-04,48
2023-09-11,50
2023-09-18,52
2023-09-25,44
2023-10-02,44
2023-10-09,28
2023-10-16,47
2023-10-23,43
2023-10-30,54
2023-11-06,107
2023-11-13,90
2023-11-20,110
2023-11-27,163
2023-12-04,187
2023-12-11,215
2023-12-18,197
2023-12-25,137
2024-01-01,139
2024-01-08,84
2024-01-15,52
2024-01-22,31
2024-01-29,27
2024-02-05,41
2024-02-12,43
2024-02-19,42
2024-02-26,39
2024-03-04,30
2024-03-11,6
