Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,0
2020-03-23,5
2020-03-30,6
2020-04-06,8
2020-04-13,14
2020-04-20,19
2020-04-27,28
2020-05-04,44
2020-05-11,77
2020-05-18,62
2020-05-25,54
2020-06-01,41
2020-06-08,52
2020-06-15,85
2020-06-22,57
2020-06-29,97
2020-07-06,84
2020-07-13,72
2020-07-20,74
2020-07-27,60
2020-08-03,82
2020-08-10,84
2020-08-17,80
2020-08-24,98
2020-08-31,63
2020-09-07,63
2020-09-14,103
2020-09-21,78
2020-09-28,58
2020-10-05,60
2020-10-12,57
2020-10-19,108
2020-10-26,142
2020-11-02,259
2020-11-09,218
2020-11-16,141
2020-11-23,165
2020-11-30,206
2020-12-07,110
2020-12-14,105
2020-12-21,82
2020-12-28,94
2021-01-04,103
2021-01-11,85
2021-01-18,69
2021-01-25,45
2021-02-01,61
2021-02-08,159
2021-02-15,89
2021-02-22,73
2021-03-01,71
2021-03-08,76
2021-03-15,103
2021-03-22,233
2021-03-29,203
2021-04-05,232
2021-04-12,279
2021-04-19,177
2021-04-26,229
2021-05-03,105
2021-05-10,115
2021-05-17,117
2021-05-24,86
2021-05-31,55
2021-06-07,52
2021-06-14,50
2021-06-21,38
2021-06-28,45
2021-07-05,37
2021-07-12,32
2021-07-19,36
2021-07-26,65
2021-08-02,63
2021-08-09,74
2021-08-16,79
2021-08-23,114
2021-08-30,79
2021-09-06,94
2021-09-13,139
2021-09-20,192
2021-09-27,176
2021-10-04,176
2021-10-11,171
2021-10-18,183
2021-10-25,132
2021-11-01,174
2021-11-08,222
2021-11-15,221
2021-11-22,196
2021-11-29,260
2021-12-06,157
2021-12-13,133
2021-12-20,122
2021-12-27,186
2022-01-03,279
2022-01-10,329
2022-01-17,394
2022-01-24,386
2022-01-31,241
2022-02-07,144
2022-02-14,70
2022-02-21,57
2022-02-28,34
2022-03-07,30
2022-03-14,28
2022-03-21,22
2022-03-28,17
2022-04-04,18
2022-04-11,19
2022-04-18,27
2022-04-25,47
2022-05-02,71
2022-05-09,59
2022-05-16,76
2022-05-23,62
2022-05-30,52
2022-06-06,47
2022-06-13,46
2022-06-20,33
2022-06-27,41
2022-07-04,49
2022-07-11,44
2022-07-18,68
2022-07-25,53
2022-08-01,58
2022-08-08,48
2022-08-15,59
2022-08-22,68
2022-08-29,71
2022-09-05,59
2022-09-12,50
2022-09-19,63
2022-09-26,52
2022-10-03,47
2022-10-10,41
2022-10-17,31
2022-10-24,29
2022-10-31,22
2022-11-07,25
2022-11-14,28
2022-11-21,39
2022-11-28,44
2022-12-05,33
2022-12-12,40
2022-12-19,37
2022-12-26,38
2023-01-02,28
2023-01-09,30
2023-01-16,26
2023-01-23,33
2023-01-30,17
2023-02-06,16
2023-02-13,24
2023-02-20,21
2023-02-27,10
2023-03-06,21
2023-03-13,15
2023-03-20,10
2023-03-27,21
2023-04-03,15
2023-04-10,17
2023-04-17,12
2023-04-24,15
2023-05-01,10
2023-05-08,9
2023-05-15,3
2023-05-22,6
2023-05-29,5
2023-06-05,6
2023-06-12,15
2023-06-19,3
2023-06-26,2
2023-07-03,1
2023-07-10,3
2023-07-17,3
2023-07-24,1
2023-07-31,4
2023-08-07,3
2023-08-14,10
2023-08-21,12
2023-08-28,20
2023-09-04,24
2023-09-11,35
2023-09-18,35
2023-09-25,28
2023-10-02,15
2023-10-09,11
2023-10-16,14
2023-10-23,19
2023-10-30,17
2023-11-06,18
2023-11-13,26
2023-11-20,42
2023-11-27,29
2023-12-04,53
2023-12-11,61
2023-12-18,49
2023-12-25,48
2024-01-01,40
2024-01-08,20
2024-01-15,23
2024-01-22,15
2024-01-29,14
2024-02-05,9
2024-02-12,19
2024-02-19,21
2024-02-26,18
2024-03-04,8
2024-03-11,2
