Week,Cases
2020-02-24,2
2020-03-02,64
2020-03-09,514
2020-03-16,1421
2020-03-23,1710
2020-03-30,1817
2020-04-06,1306
2020-04-13,1043
2020-04-20,1015
2020-04-27,1008
2020-05-04,1332
2020-05-11,1505
2020-05-18,1638
2020-05-25,1269
2020-06-01,1326
2020-06-08,1100
2020-06-15,1060
2020-06-22,1767
2020-06-29,1693
2020-07-06,2031
2020-07-13,2546
2020-07-20,2484
2020-07-27,2589
2020-08-03,2655
2020-08-10,2633
2020-08-17,2442
2020-08-24,2317
2020-08-31,1830
2020-09-07,1987
2020-09-14,2114
2020-09-21,1600
2020-09-28,704
2020-10-05,1005
2020-10-12,1188
2020-10-19,1953
2020-10-26,2793
2020-11-02,4035
2020-11-09,4818
2020-11-16,4759
2020-11-23,3692
2020-11-30,3622
2020-12-07,2510
2020-12-14,2089
2020-12-21,1686
2020-12-28,2150
2021-01-04,1982
2021-01-11,1617
2021-01-18,1262
2021-01-25,1001
2021-02-01,1301
2021-02-08,2863
2021-02-15,1612
2021-02-22,839
2021-03-01,1165
2021-03-08,1779
2021-03-15,3536
2021-03-22,7883
2021-03-29,6475
2021-04-05,5579
2021-04-12,4518
2021-04-19,3325
2021-04-26,3289
2021-05-03,1512
2021-05-10,1616
2021-05-17,2158
2021-05-24,1628
2021-05-31,1352
2021-06-07,1246
2021-06-14,1237
2021-06-21,1081
2021-06-28,1013
2021-07-05,1084
2021-07-12,1218
2021-07-19,1568
2021-07-26,1941
2021-08-02,2500
2021-08-09,2946
2021-08-16,2930
2021-08-23,3223
2021-08-30,2021
2021-09-06,1497
2021-09-13,1661
2021-09-20,1762
2021-09-27,2218
2021-10-04,2092
2021-10-11,2587
2021-10-18,2949
2021-10-25,2250
2021-11-01,3216
2021-11-08,3783
2021-11-15,4433
2021-11-22,4271
2021-11-29,5135
2021-12-06,4209
2021-12-13,4606
2021-12-20,8232
2021-12-27,14843
2022-01-03,18033
2022-01-10,13009
2022-01-17,8195
2022-01-24,5472
2022-01-31,3523
2022-02-07,2435
2022-02-14,1766
2022-02-21,1261
2022-02-28,1158
2022-03-07,1065
2022-03-14,1184
2022-03-21,1245
2022-03-28,1288
2022-04-04,1748
2022-04-11,2169
2022-04-18,2779
2022-04-25,3189
2022-05-02,4095
2022-05-09,4367
2022-05-16,3586
2022-05-23,2715
2022-05-30,2449
2022-06-06,2094
2022-06-13,1996
2022-06-20,1887
2022-06-27,1932
2022-07-04,2144
2022-07-11,2205
2022-07-18,2380
2022-07-25,2460
2022-08-01,2321
2022-08-08,2273
2022-08-15,2124
2022-08-22,1917
2022-08-29,1890
2022-09-05,1873
2022-09-12,1994
2022-09-19,1885
2022-09-26,1631
2022-10-03,1614
2022-10-10,1614
2022-10-17,1607
2022-10-24,1501
2022-10-31,1420
2022-11-07,1113
2022-11-14,1173
2022-11-21,1179
2022-11-28,1488
2022-12-05,1624
2022-12-12,1690
2022-12-19,1447
2022-12-26,1338
2023-01-02,1086
2023-01-09,871
2023-01-16,747
2023-01-23,710
2023-01-30,780
2023-02-06,826
2023-02-13,847
2023-02-20,853
2023-02-27,734
2023-03-06,852
2023-03-13,787
2023-03-20,727
2023-03-27,746
2023-04-03,602
2023-04-10,551
2023-04-17,391
2023-04-24,421
2023-05-01,451
2023-05-08,370
2023-05-15,266
2023-05-22,254
2023-05-29,249
2023-06-05,229
2023-06-12,196
2023-06-19,175
2023-06-26,162
2023-07-03,174
2023-07-10,167
2023-07-17,169
2023-07-24,222
2023-07-31,323
2023-08-07,361
2023-08-14,458
2023-08-21,535
2023-08-28,553
2023-09-04,701
2023-09-11,746
2023-09-18,812
2023-09-25,633
2023-10-02,505
2023-10-09,539
2023-10-16,613
2023-10-23,517
2023-10-30,531
2023-11-06,520
2023-11-13,666
2023-11-20,643
2023-11-27,967
2023-12-04,1023
2023-12-11,1120
2023-12-18,1281
2023-12-25,1258
2024-01-01,1133
2024-01-08,811
2024-01-15,678
2024-01-22,668
2024-01-29,681
2024-02-05,698
2024-02-12,691
2024-02-19,608
2024-02-26,427
2024-03-04,301
2024-03-11,35
