Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,3
2020-03-30,1
2020-04-06,2
2020-04-13,5
2020-04-20,9
2020-04-27,5
2020-05-04,6
2020-05-11,9
2020-05-18,2
2020-05-25,6
2020-06-01,4
2020-06-08,7
2020-06-15,50
2020-06-22,17
2020-06-29,36
2020-07-06,19
2020-07-13,13
2020-07-20,13
2020-07-27,19
2020-08-03,4
2020-08-10,10
2020-08-17,10
2020-08-24,10
2020-08-31,8
2020-09-07,12
2020-09-14,11
2020-09-21,10
2020-09-28,5
2020-10-05,9
2020-10-12,17
2020-10-19,25
2020-10-26,47
2020-11-02,77
2020-11-09,88
2020-11-16,94
2020-11-23,95
2020-11-30,123
2020-12-07,63
2020-12-14,56
2020-12-21,50
2020-12-28,47
2021-01-04,40
2021-01-11,32
2021-01-18,23
2021-01-25,15
2021-02-01,16
2021-02-08,36
2021-02-15,13
2021-02-22,5
2021-03-01,8
2021-03-08,12
2021-03-15,18
2021-03-22,70
2021-03-29,74
2021-04-05,102
2021-04-12,90
2021-04-19,77
2021-04-26,61
2021-05-03,54
2021-05-10,50
2021-05-17,53
2021-05-24,30
2021-05-31,17
2021-06-07,11
2021-06-14,9
2021-06-21,11
2021-06-28,15
2021-07-05,9
2021-07-12,11
2021-07-19,13
2021-07-26,30
2021-08-02,34
2021-08-09,40
2021-08-16,46
2021-08-23,42
2021-08-30,25
2021-09-06,58
2021-09-13,107
2021-09-20,96
2021-09-27,171
2021-10-04,139
2021-10-11,109
2021-10-18,75
2021-10-25,49
2021-11-01,55
2021-11-08,63
2021-11-15,67
2021-11-22,70
2021-11-29,62
2021-12-06,54
2021-12-13,45
2021-12-20,41
2021-12-27,74
2022-01-03,112
2022-01-10,130
2022-01-17,164
2022-01-24,125
2022-01-31,111
2022-02-07,62
2022-02-14,32
2022-02-21,14
2022-02-28,5
2022-03-07,6
2022-03-14,8
2022-03-21,8
2022-03-28,6
2022-04-04,8
2022-04-11,4
2022-04-18,9
2022-04-25,18
2022-05-02,24
2022-05-09,17
2022-05-16,22
2022-05-23,24
2022-05-30,24
2022-06-06,9
2022-06-13,14
2022-06-20,12
2022-06-27,13
2022-07-04,10
2022-07-11,9
2022-07-18,14
2022-07-25,15
2022-08-01,20
2022-08-08,19
2022-08-15,18
2022-08-22,16
2022-08-29,16
2022-09-05,39
2022-09-12,27
2022-09-19,23
2022-09-26,28
2022-10-03,14
2022-10-10,13
2022-10-17,12
2022-10-24,14
2022-10-31,7
2022-11-07,11
2022-11-14,20
2022-11-21,21
2022-11-28,16
2022-12-05,19
2022-12-12,18
2022-12-19,10
2022-12-26,17
2023-01-02,9
2023-01-09,6
2023-01-16,7
2023-01-23,8
2023-01-30,8
2023-02-06,6
2023-02-13,12
2023-02-20,9
2023-02-27,8
2023-03-06,8
2023-03-13,12
2023-03-20,7
2023-03-27,8
2023-04-03,13
2023-04-10,8
2023-04-17,6
2023-04-24,2
2023-05-01,3
2023-05-08,4
2023-05-15,1
2023-05-22,2
2023-05-29,1
2023-06-05,1
2023-06-12,5
2023-06-19,1
2023-06-26,1
2023-07-03,0
2023-07-10,2
2023-07-17,4
2023-07-24,2
2023-07-31,1
2023-08-07,2
2023-08-14,22
2023-08-21,12
2023-08-28,4
2023-09-04,6
2023-09-11,9
2023-09-18,11
2023-09-25,7
2023-10-02,4
2023-10-09,1
2023-10-16,13
2023-10-23,12
2023-10-30,13
2023-11-06,13
2023-11-13,13
2023-11-20,12
2023-11-27,26
2023-12-04,12
2023-12-11,16
2023-12-18,21
2023-12-25,23
2024-01-01,26
2024-01-08,15
2024-01-15,7
2024-01-22,11
2024-01-29,11
2024-02-05,6
2024-02-12,10
2024-02-19,6
2024-02-26,6
2024-03-04,6
2024-03-11,2
