Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,0
2020-05-11,0
2020-05-18,0
2020-05-25,0
2020-06-01,5
2020-06-08,2
2020-06-15,2
2020-06-22,4
2020-06-29,2
2020-07-06,0
2020-07-13,7
2020-07-20,6
2020-07-27,11
2020-08-03,20
2020-08-10,10
2020-08-17,9
2020-08-24,2
2020-08-31,3
2020-09-07,9
2020-09-14,4
2020-09-21,6
2020-09-28,5
2020-10-05,13
2020-10-12,18
2020-10-19,36
2020-10-26,43
2020-11-02,61
2020-11-09,19
2020-11-16,18
2020-11-23,9
2020-11-30,16
2020-12-07,3
2020-12-14,1
2020-12-21,4
2020-12-28,6
2021-01-04,5
2021-01-11,22
2021-01-18,16
2021-01-25,30
2021-02-01,13
2021-02-08,10
2021-02-15,3
2021-02-22,1
2021-03-01,8
2021-03-08,7
2021-03-15,5
2021-03-22,15
2021-03-29,0
2021-04-05,8
2021-04-12,7
2021-04-19,3
2021-04-26,6
2021-05-03,6
2021-05-10,7
2021-05-17,9
2021-05-24,7
2021-05-31,3
2021-06-07,0
2021-06-14,1
2021-06-21,0
2021-06-28,0
2021-07-05,2
2021-07-12,1
2021-07-19,4
2021-07-26,2
2021-08-02,4
2021-08-09,21
2021-08-16,14
2021-08-23,12
2021-08-30,10
2021-09-06,10
2021-09-13,13
2021-09-20,6
2021-09-27,11
2021-10-04,11
2021-10-11,9
2021-10-18,11
2021-10-25,11
2021-11-01,20
2021-11-08,18
2021-11-15,4
2021-11-22,4
2021-11-29,13
2021-12-06,6
2021-12-13,16
2021-12-20,18
2021-12-27,13
2022-01-03,45
2022-01-10,35
2022-01-17,33
2022-01-24,16
2022-01-31,10
2022-02-07,14
2022-02-14,7
2022-02-21,4
2022-02-28,2
2022-03-07,6
2022-03-14,5
2022-03-21,7
2022-03-28,5
2022-04-04,2
2022-04-11,5
2022-04-18,12
2022-04-25,10
2022-05-02,5
2022-05-09,15
2022-05-16,6
2022-05-23,14
2022-05-30,10
2022-06-06,8
2022-06-13,8
2022-06-20,9
2022-06-27,8
2022-07-04,7
2022-07-11,7
2022-07-18,7
2022-07-25,23
2022-08-01,24
2022-08-08,10
2022-08-15,14
2022-08-22,14
2022-08-29,9
2022-09-05,6
2022-09-12,6
2022-09-19,5
2022-09-26,9
2022-10-03,9
2022-10-10,10
2022-10-17,6
2022-10-24,4
2022-10-31,12
2022-11-07,12
2022-11-14,12
2022-11-21,6
2022-11-28,8
2022-12-05,6
2022-12-12,8
2022-12-19,3
2022-12-26,2
2023-01-02,3
2023-01-09,4
2023-01-16,5
2023-01-23,0
2023-01-30,3
2023-02-06,2
2023-02-13,2
2023-02-20,9
2023-02-27,2
2023-03-06,2
2023-03-13,4
2023-03-20,1
2023-03-27,0
2023-04-03,7
2023-04-10,5
2023-04-17,0
2023-04-24,1
2023-05-01,4
2023-05-08,3
2023-05-15,2
2023-05-22,0
2023-05-29,3
2023-06-05,0
2023-06-12,0
2023-06-19,1
2023-06-26,0
2023-07-03,2
2023-07-10,0
2023-07-17,3
2023-07-24,1
2023-07-31,1
2023-08-07,2
2023-08-14,8
2023-08-21,1
2023-08-28,1
2023-09-04,7
2023-09-11,5
2023-09-18,6
2023-09-25,2
2023-10-02,2
2023-10-09,0
2023-10-16,0
2023-10-23,3
2023-10-30,1
2023-11-06,1
2023-11-13,4
2023-11-20,3
2023-11-27,3
2023-12-04,1
2023-12-11,2
2023-12-18,6
2023-12-25,3
2024-01-01,7
2024-01-08,8
2024-01-15,1
2024-01-22,2
2024-01-29,0
2024-02-05,1
2024-02-12,6
2024-02-19,7
2024-02-26,4
2024-03-04,4
2024-03-11,0
