Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,2
2020-03-30,4
2020-04-06,5
2020-04-13,3
2020-04-20,2
2020-04-27,10
2020-05-04,10
2020-05-11,12
2020-05-18,19
2020-05-25,13
2020-06-01,18
2020-06-08,13
2020-06-15,18
2020-06-22,14
2020-06-29,60
2020-07-06,39
2020-07-13,41
2020-07-20,25
2020-07-27,19
2020-08-03,31
2020-08-10,24
2020-08-17,15
2020-08-24,29
2020-08-31,22
2020-09-07,32
2020-09-14,27
2020-09-21,29
2020-09-28,7
2020-10-05,13
2020-10-12,26
2020-10-19,46
2020-10-26,58
2020-11-02,70
2020-11-09,83
2020-11-16,74
2020-11-23,84
2020-11-30,78
2020-12-07,70
2020-12-14,46
2020-12-21,33
2020-12-28,50
2021-01-04,39
2021-01-11,35
2021-01-18,19
2021-01-25,19
2021-02-01,29
2021-02-08,37
2021-02-15,26
2021-02-22,16
2021-03-01,18
2021-03-08,53
2021-03-15,73
2021-03-22,141
2021-03-29,122
2021-04-05,116
2021-04-12,86
2021-04-19,84
2021-04-26,82
2021-05-03,47
2021-05-10,37
2021-05-17,56
2021-05-24,30
2021-05-31,15
2021-06-07,22
2021-06-14,24
2021-06-21,17
2021-06-28,21
2021-07-05,12
2021-07-12,14
2021-07-19,20
2021-07-26,12
2021-08-02,32
2021-08-09,31
2021-08-16,53
2021-08-23,59
2021-08-30,50
2021-09-06,69
2021-09-13,94
2021-09-20,81
2021-09-27,119
2021-10-04,131
2021-10-11,158
2021-10-18,128
2021-10-25,72
2021-11-01,72
2021-11-08,97
2021-11-15,84
2021-11-22,57
2021-11-29,82
2021-12-06,77
2021-12-13,48
2021-12-20,28
2021-12-27,53
2022-01-03,107
2022-01-10,181
2022-01-17,165
2022-01-24,134
2022-01-31,98
2022-02-07,62
2022-02-14,36
2022-02-21,28
2022-02-28,20
2022-03-07,8
2022-03-14,10
2022-03-21,10
2022-03-28,15
2022-04-04,11
2022-04-11,16
2022-04-18,17
2022-04-25,18
2022-05-02,24
2022-05-09,29
2022-05-16,50
2022-05-23,25
2022-05-30,43
2022-06-06,37
2022-06-13,24
2022-06-20,24
2022-06-27,18
2022-07-04,18
2022-07-11,25
2022-07-18,26
2022-07-25,29
2022-08-01,28
2022-08-08,28
2022-08-15,16
2022-08-22,30
2022-08-29,33
2022-09-05,34
2022-09-12,21
2022-09-19,32
2022-09-26,21
2022-10-03,18
2022-10-10,11
2022-10-17,12
2022-10-24,8
2022-10-31,12
2022-11-07,10
2022-11-14,8
2022-11-21,12
2022-11-28,9
2022-12-05,14
2022-12-12,28
2022-12-19,15
2022-12-26,11
2023-01-02,12
2023-01-09,7
2023-01-16,6
2023-01-23,14
2023-01-30,18
2023-02-06,3
2023-02-13,18
2023-02-20,11
2023-02-27,16
2023-03-06,9
2023-03-13,10
2023-03-20,6
2023-03-27,6
2023-04-03,7
2023-04-10,5
2023-04-17,5
2023-04-24,6
2023-05-01,7
2023-05-08,9
2023-05-15,4
2023-05-22,1
2023-05-29,5
2023-06-05,10
2023-06-12,3
2023-06-19,1
2023-06-26,1
2023-07-03,3
2023-07-10,2
2023-07-17,0
2023-07-24,1
2023-07-31,0
2023-08-07,3
2023-08-14,3
2023-08-21,0
2023-08-28,4
2023-09-04,9
2023-09-11,9
2023-09-18,5
2023-09-25,3
2023-10-02,9
2023-10-09,1
2023-10-16,9
2023-10-23,12
2023-10-30,9
2023-11-06,10
2023-11-13,7
2023-11-20,15
2023-11-27,15
2023-12-04,25
2023-12-11,32
2023-12-18,31
2023-12-25,31
2024-01-01,15
2024-01-08,12
2024-01-15,6
2024-01-22,4
2024-01-29,8
2024-02-05,5
2024-02-12,6
2024-02-19,4
2024-02-26,5
2024-03-04,3
2024-03-11,0
