Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,0
2020-03-30,2
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,3
2020-05-04,3
2020-05-11,2
2020-05-18,0
2020-05-25,2
2020-06-01,2
2020-06-08,5
2020-06-15,25
2020-06-22,10
2020-06-29,10
2020-07-06,7
2020-07-13,5
2020-07-20,5
2020-07-27,3
2020-08-03,4
2020-08-10,8
2020-08-17,5
2020-08-24,4
2020-08-31,5
2020-09-07,4
2020-09-14,4
2020-09-21,5
2020-09-28,17
2020-10-05,3
2020-10-12,2
2020-10-19,5
2020-10-26,12
2020-11-02,17
2020-11-09,23
2020-11-16,34
2020-11-23,42
2020-11-30,38
2020-12-07,25
2020-12-14,22
2020-12-21,18
2020-12-28,17
2021-01-04,7
2021-01-11,10
2021-01-18,14
2021-01-25,13
2021-02-01,11
2021-02-08,9
2021-02-15,4
2021-02-22,5
2021-03-01,2
2021-03-08,6
2021-03-15,11
2021-03-22,45
2021-03-29,30
2021-04-05,30
2021-04-12,30
2021-04-19,32
2021-04-26,31
2021-05-03,19
2021-05-10,19
2021-05-17,24
2021-05-24,22
2021-05-31,12
2021-06-07,3
2021-06-14,3
2021-06-21,3
2021-06-28,4
2021-07-05,2
2021-07-12,9
2021-07-19,2
2021-07-26,4
2021-08-02,9
2021-08-09,9
2021-08-16,8
2021-08-23,14
2021-08-30,10
2021-09-06,18
2021-09-13,28
2021-09-20,13
2021-09-27,34
2021-10-04,32
2021-10-11,38
2021-10-18,34
2021-10-25,21
2021-11-01,26
2021-11-08,25
2021-11-15,23
2021-11-22,21
2021-11-29,14
2021-12-06,21
2021-12-13,9
2021-12-20,8
2021-12-27,23
2022-01-03,32
2022-01-10,39
2022-01-17,44
2022-01-24,33
2022-01-31,27
2022-02-07,11
2022-02-14,7
2022-02-21,3
2022-02-28,3
2022-03-07,2
2022-03-14,6
2022-03-21,5
2022-03-28,2
2022-04-04,1
2022-04-11,3
2022-04-18,5
2022-04-25,2
2022-05-02,7
2022-05-09,16
2022-05-16,8
2022-05-23,7
2022-05-30,2
2022-06-06,8
2022-06-13,10
2022-06-20,11
2022-06-27,8
2022-07-04,2
2022-07-11,5
2022-07-18,2
2022-07-25,6
2022-08-01,3
2022-08-08,6
2022-08-15,5
2022-08-22,9
2022-08-29,15
2022-09-05,10
2022-09-12,5
2022-09-19,4
2022-09-26,6
2022-10-03,3
2022-10-10,3
2022-10-17,1
2022-10-24,10
2022-10-31,11
2022-11-07,4
2022-11-14,2
2022-11-21,6
2022-11-28,3
2022-12-05,5
2022-12-12,7
2022-12-19,3
2022-12-26,4
2023-01-02,1
2023-01-09,0
2023-01-16,0
2023-01-23,0
2023-01-30,1
2023-02-06,0
2023-02-13,1
2023-02-20,3
2023-02-27,1
2023-03-06,1
2023-03-13,5
2023-03-20,1
2023-03-27,3
2023-04-03,0
2023-04-10,2
2023-04-17,1
2023-04-24,0
2023-05-01,0
2023-05-08,1
2023-05-15,2
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,1
2023-06-26,0
2023-07-03,1
2023-07-10,1
2023-07-17,0
2023-07-24,0
2023-07-31,1
2023-08-07,0
2023-08-14,0
2023-08-21,3
2023-08-28,0
2023-09-04,29
2023-09-11,11
2023-09-18,3
2023-09-25,4
2023-10-02,1
2023-10-09,2
2023-10-16,2
2023-10-23,1
2023-10-30,4
2023-11-06,2
2023-11-13,3
2023-11-20,4
2023-11-27,6
2023-12-04,2
2023-12-11,5
2023-12-18,7
2023-12-25,7
2024-01-01,3
2024-01-08,7
2024-01-15,3
2024-01-22,3
2024-01-29,5
2024-02-05,2
2024-02-12,2
2024-02-19,6
2024-02-26,5
2024-03-04,2
2024-03-11,1
