Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,8
2020-03-16,14
2020-03-23,7
2020-03-30,6
2020-04-06,24
2020-04-13,42
2020-04-20,18
2020-04-27,10
2020-05-04,3
2020-05-11,4
2020-05-18,6
2020-05-25,3
2020-06-01,12
2020-06-08,0
2020-06-15,16
2020-06-22,7
2020-06-29,12
2020-07-06,10
2020-07-13,16
2020-07-20,12
2020-07-27,14
2020-08-03,15
2020-08-10,22
2020-08-17,20
2020-08-24,22
2020-08-31,22
2020-09-07,19
2020-09-14,22
2020-09-21,26
2020-09-28,7
2020-10-05,8
2020-10-12,27
2020-10-19,51
2020-10-26,81
2020-11-02,169
2020-11-09,89
2020-11-16,101
2020-11-23,78
2020-11-30,66
2020-12-07,46
2020-12-14,30
2020-12-21,38
2020-12-28,31
2021-01-04,23
2021-01-11,21
2021-01-18,16
2021-01-25,22
2021-02-01,13
2021-02-08,48
2021-02-15,26
2021-02-22,17
2021-03-01,83
2021-03-08,104
2021-03-15,131
2021-03-22,207
2021-03-29,168
2021-04-05,153
2021-04-12,92
2021-04-19,87
2021-04-26,80
2021-05-03,36
2021-05-10,45
2021-05-17,28
2021-05-24,20
2021-05-31,19
2021-06-07,22
2021-06-14,22
2021-06-21,19
2021-06-28,14
2021-07-05,11
2021-07-12,13
2021-07-19,18
2021-07-26,27
2021-08-02,23
2021-08-09,60
2021-08-16,69
2021-08-23,73
2021-08-30,38
2021-09-06,41
2021-09-13,67
2021-09-20,78
2021-09-27,105
2021-10-04,131
2021-10-11,106
2021-10-18,101
2021-10-25,107
2021-11-01,167
2021-11-08,130
2021-11-15,108
2021-11-22,97
2021-11-29,114
2021-12-06,83
2021-12-13,67
2021-12-20,50
2021-12-27,64
2022-01-03,169
2022-01-10,207
2022-01-17,200
2022-01-24,148
2022-01-31,93
2022-02-07,72
2022-02-14,46
2022-02-21,36
2022-02-28,32
2022-03-07,29
2022-03-14,23
2022-03-21,10
2022-03-28,14
2022-04-04,15
2022-04-11,13
2022-04-18,27
2022-04-25,24
2022-05-02,54
2022-05-09,43
2022-05-16,56
2022-05-23,25
2022-05-30,23
2022-06-06,39
2022-06-13,29
2022-06-20,23
2022-06-27,23
2022-07-04,24
2022-07-11,31
2022-07-18,31
2022-07-25,33
2022-08-01,22
2022-08-08,26
2022-08-15,26
2022-08-22,16
2022-08-29,34
2022-09-05,18
2022-09-12,17
2022-09-19,19
2022-09-26,17
2022-10-03,28
2022-10-10,20
2022-10-17,25
2022-10-24,27
2022-10-31,19
2022-11-07,18
2022-11-14,14
2022-11-21,13
2022-11-28,17
2022-12-05,22
2022-12-12,17
2022-12-19,17
2022-12-26,22
2023-01-02,20
2023-01-09,11
2023-01-16,6
2023-01-23,9
2023-01-30,10
2023-02-06,12
2023-02-13,4
2023-02-20,10
2023-02-27,9
2023-03-06,6
2023-03-13,7
2023-03-20,16
2023-03-27,7
2023-04-03,1
2023-04-10,5
2023-04-17,8
2023-04-24,4
2023-05-01,5
2023-05-08,5
2023-05-15,1
2023-05-22,0
2023-05-29,1
2023-06-05,1
2023-06-12,2
2023-06-19,5
2023-06-26,1
2023-07-03,1
2023-07-10,1
2023-07-17,2
2023-07-24,2
2023-07-31,6
2023-08-07,1
2023-08-14,3
2023-08-21,3
2023-08-28,4
2023-09-04,8
2023-09-11,8
2023-09-18,12
2023-09-25,5
2023-10-02,6
2023-10-09,2
2023-10-16,8
2023-10-23,14
2023-10-30,1
2023-11-06,5
2023-11-13,7
2023-11-20,19
2023-11-27,18
2023-12-04,21
2023-12-11,8
2023-12-18,12
2023-12-25,14
2024-01-01,11
2024-01-08,6
2024-01-15,5
2024-01-22,4
2024-01-29,6
2024-02-05,7
2024-02-12,2
2024-02-19,9
2024-02-26,22
2024-03-04,29
2024-03-11,2
