Week,Cases
2020-02-24,0
2020-03-02,2
2020-03-09,6
2020-03-16,30
2020-03-23,24
2020-03-30,41
2020-04-06,53
2020-04-13,96
2020-04-20,121
2020-04-27,172
2020-05-04,236
2020-05-11,250
2020-05-18,256
2020-05-25,234
2020-06-01,225
2020-06-08,152
2020-06-15,171
2020-06-22,307
2020-06-29,489
2020-07-06,457
2020-07-13,475
2020-07-20,418
2020-07-27,394
2020-08-03,373
2020-08-10,452
2020-08-17,437
2020-08-24,769
2020-08-31,835
2020-09-07,716
2020-09-14,620
2020-09-21,574
2020-09-28,265
2020-10-05,358
2020-10-12,465
2020-10-19,711
2020-10-26,1193
2020-11-02,2278
2020-11-09,2069
2020-11-16,1611
2020-11-23,1240
2020-11-30,1250
2020-12-07,943
2020-12-14,718
2020-12-21,574
2020-12-28,737
2021-01-04,727
2021-01-11,635
2021-01-18,484
2021-01-25,348
2021-02-01,383
2021-02-08,885
2021-02-15,480
2021-02-22,220
2021-03-01,267
2021-03-08,407
2021-03-15,749
2021-03-22,1604
2021-03-29,1563
2021-04-05,1496
2021-04-12,1291
2021-04-19,1043
2021-04-26,1100
2021-05-03,581
2021-05-10,548
2021-05-17,601
2021-05-24,383
2021-05-31,300
2021-06-07,298
2021-06-14,238
2021-06-21,222
2021-06-28,187
2021-07-05,184
2021-07-12,197
2021-07-19,257
2021-07-26,394
2021-08-02,524
2021-08-09,622
2021-08-16,752
2021-08-23,829
2021-08-30,715
2021-09-06,561
2021-09-13,606
2021-09-20,603
2021-09-27,721
2021-10-04,813
2021-10-11,896
2021-10-18,1073
2021-10-25,1008
2021-11-01,1304
2021-11-08,1626
2021-11-15,1596
2021-11-22,1473
2021-11-29,1678
2021-12-06,1181
2021-12-13,805
2021-12-20,869
2021-12-27,1664
2022-01-03,2661
2022-01-10,3064
2022-01-17,2751
2022-01-24,2095
2022-01-31,1158
2022-02-07,667
2022-02-14,361
2022-02-21,254
2022-02-28,207
2022-03-07,156
2022-03-14,169
2022-03-21,168
2022-03-28,183
2022-04-04,148
2022-04-11,199
2022-04-18,247
2022-04-25,281
2022-05-02,403
2022-05-09,434
2022-05-16,421
2022-05-23,394
2022-05-30,343
2022-06-06,296
2022-06-13,266
2022-06-20,293
2022-06-27,261
2022-07-04,259
2022-07-11,345
2022-07-18,359
2022-07-25,333
2022-08-01,336
2022-08-08,300
2022-08-15,315
2022-08-22,266
2022-08-29,267
2022-09-05,268
2022-09-12,235
2022-09-19,209
2022-09-26,144
2022-10-03,159
2022-10-10,195
2022-10-17,167
2022-10-24,151
2022-10-31,181
2022-11-07,140
2022-11-14,111
2022-11-21,121
2022-11-28,181
2022-12-05,217
2022-12-12,238
2022-12-19,183
2022-12-26,160
2023-01-02,149
2023-01-09,94
2023-01-16,130
2023-01-23,122
2023-01-30,122
2023-02-06,132
2023-02-13,108
2023-02-20,138
2023-02-27,107
2023-03-06,104
2023-03-13,102
2023-03-20,105
2023-03-27,90
2023-04-03,59
2023-04-10,50
2023-04-17,39
2023-04-24,37
2023-05-01,30
2023-05-08,30
2023-05-15,29
2023-05-22,23
2023-05-29,11
2023-06-05,15
2023-06-12,10
2023-06-19,12
2023-06-26,14
2023-07-03,18
2023-07-10,14
2023-07-17,18
2023-07-24,14
2023-07-31,24
2023-08-07,22
2023-08-14,39
2023-08-21,89
2023-08-28,88
2023-09-04,99
2023-09-11,91
2023-09-18,95
2023-09-25,105
2023-10-02,90
2023-10-09,59
2023-10-16,45
2023-10-23,52
2023-10-30,73
2023-11-06,82
2023-11-13,118
2023-11-20,134
2023-11-27,202
2023-12-04,202
2023-12-11,205
2023-12-18,210
2023-12-25,196
2024-01-01,126
2024-01-08,92
2024-01-15,94
2024-01-22,69
2024-01-29,63
2024-02-05,62
2024-02-12,87
2024-02-19,57
2024-02-26,57
2024-03-04,46
2024-03-11,5
