Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,1
2020-03-23,3
2020-03-30,4
2020-04-06,1
2020-04-13,1
2020-04-20,2
2020-04-27,15
2020-05-04,6
2020-05-11,9
2020-05-18,4
2020-05-25,4
2020-06-01,8
2020-06-08,15
2020-06-15,11
2020-06-22,12
2020-06-29,17
2020-07-06,17
2020-07-13,17
2020-07-20,6
2020-07-27,27
2020-08-03,28
2020-08-10,39
2020-08-17,30
2020-08-24,42
2020-08-31,62
2020-09-07,46
2020-09-14,32
2020-09-21,32
2020-09-28,12
2020-10-05,23
2020-10-12,28
2020-10-19,29
2020-10-26,59
2020-11-02,109
2020-11-09,113
2020-11-16,101
2020-11-23,98
2020-11-30,93
2020-12-07,56
2020-12-14,36
2020-12-21,48
2020-12-28,66
2021-01-04,38
2021-01-11,28
2021-01-18,26
2021-01-25,20
2021-02-01,27
2021-02-08,49
2021-02-15,30
2021-02-22,13
2021-03-01,16
2021-03-08,15
2021-03-15,22
2021-03-22,60
2021-03-29,53
2021-04-05,44
2021-04-12,40
2021-04-19,26
2021-04-26,44
2021-05-03,20
2021-05-10,14
2021-05-17,37
2021-05-24,17
2021-05-31,15
2021-06-07,19
2021-06-14,15
2021-06-21,12
2021-06-28,16
2021-07-05,17
2021-07-12,29
2021-07-19,48
2021-07-26,55
2021-08-02,45
2021-08-09,62
2021-08-16,77
2021-08-23,71
2021-08-30,74
2021-09-06,66
2021-09-13,54
2021-09-20,31
2021-09-27,43
2021-10-04,56
2021-10-11,51
2021-10-18,66
2021-10-25,55
2021-11-01,69
2021-11-08,60
2021-11-15,70
2021-11-22,103
2021-11-29,110
2021-12-06,79
2021-12-13,102
2021-12-20,373
2021-12-27,578
2022-01-03,485
2022-01-10,281
2022-01-17,197
2022-01-24,124
2022-01-31,78
2022-02-07,40
2022-02-14,27
2022-02-21,25
2022-02-28,28
2022-03-07,42
2022-03-14,30
2022-03-21,28
2022-03-28,35
2022-04-04,50
2022-04-11,39
2022-04-18,38
2022-04-25,45
2022-05-02,67
2022-05-09,113
2022-05-16,117
2022-05-23,94
2022-05-30,95
2022-06-06,80
2022-06-13,91
2022-06-20,113
2022-06-27,158
2022-07-04,175
2022-07-11,169
2022-07-18,195
2022-07-25,169
2022-08-01,178
2022-08-08,127
2022-08-15,102
2022-08-22,87
2022-08-29,76
2022-09-05,99
2022-09-12,78
2022-09-19,51
2022-09-26,61
2022-10-03,51
2022-10-10,57
2022-10-17,50
2022-10-24,32
2022-10-31,39
2022-11-07,28
2022-11-14,32
2022-11-21,48
2022-11-28,39
2022-12-05,45
2022-12-12,37
2022-12-19,67
2022-12-26,58
2023-01-02,32
2023-01-09,17
2023-01-16,21
2023-01-23,31
2023-01-30,9
2023-02-06,16
2023-02-13,10
2023-02-20,17
2023-02-27,25
2023-03-06,18
2023-03-13,10
2023-03-20,22
2023-03-27,21
2023-04-03,21
2023-04-10,5
2023-04-17,5
2023-04-24,6
2023-05-01,11
2023-05-08,6
2023-05-15,13
2023-05-22,8
2023-05-29,7
2023-06-05,5
2023-06-12,12
2023-06-19,7
2023-06-26,11
2023-07-03,15
2023-07-10,15
2023-07-17,17
2023-07-24,27
2023-07-31,25
2023-08-07,27
2023-08-14,23
2023-08-21,30
2023-08-28,35
2023-09-04,35
2023-09-11,32
2023-09-18,37
2023-09-25,25
2023-10-02,14
2023-10-09,18
2023-10-16,18
2023-10-23,13
2023-10-30,16
2023-11-06,11
2023-11-13,15
2023-11-20,45
2023-11-27,13
2023-12-04,22
2023-12-11,22
2023-12-18,50
2023-12-25,71
2024-01-01,47
2024-01-08,19
2024-01-15,7
2024-01-22,14
2024-01-29,8
2024-02-05,13
2024-02-12,9
2024-02-19,9
2024-02-26,9
2024-03-04,13
2024-03-11,2
