Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,0
2020-03-30,2
2020-04-06,0
2020-04-13,5
2020-04-20,4
2020-04-27,1
2020-05-04,3
2020-05-11,4
2020-05-18,6
2020-05-25,1
2020-06-01,4
2020-06-08,17
2020-06-15,4
2020-06-22,8
2020-06-29,6
2020-07-06,5
2020-07-13,5
2020-07-20,9
2020-07-27,13
2020-08-03,5
2020-08-10,19
2020-08-17,6
2020-08-24,3
2020-08-31,8
2020-09-07,2
2020-09-14,5
2020-09-21,4
2020-09-28,5
2020-10-05,5
2020-10-12,16
2020-10-19,22
2020-10-26,38
2020-11-02,36
2020-11-09,50
2020-11-16,50
2020-11-23,55
2020-11-30,81
2020-12-07,48
2020-12-14,38
2020-12-21,14
2020-12-28,19
2021-01-04,17
2021-01-11,15
2021-01-18,15
2021-01-25,16
2021-02-01,18
2021-02-08,24
2021-02-15,10
2021-02-22,12
2021-03-01,5
2021-03-08,12
2021-03-15,33
2021-03-22,61
2021-03-29,41
2021-04-05,56
2021-04-12,54
2021-04-19,34
2021-04-26,37
2021-05-03,25
2021-05-10,28
2021-05-17,18
2021-05-24,7
2021-05-31,6
2021-06-07,5
2021-06-14,5
2021-06-21,5
2021-06-28,2
2021-07-05,2
2021-07-12,3
2021-07-19,12
2021-07-26,15
2021-08-02,10
2021-08-09,17
2021-08-16,12
2021-08-23,11
2021-08-30,21
2021-09-06,18
2021-09-13,35
2021-09-20,25
2021-09-27,25
2021-10-04,25
2021-10-11,36
2021-10-18,36
2021-10-25,35
2021-11-01,53
2021-11-08,51
2021-11-15,37
2021-11-22,29
2021-11-29,28
2021-12-06,24
2021-12-13,22
2021-12-20,17
2021-12-27,34
2022-01-03,47
2022-01-10,44
2022-01-17,59
2022-01-24,49
2022-01-31,36
2022-02-07,10
2022-02-14,10
2022-02-21,9
2022-02-28,7
2022-03-07,11
2022-03-14,6
2022-03-21,11
2022-03-28,0
2022-04-04,8
2022-04-11,3
2022-04-18,4
2022-04-25,9
2022-05-02,17
2022-05-09,24
2022-05-16,17
2022-05-23,11
2022-05-30,18
2022-06-06,10
2022-06-13,5
2022-06-20,3
2022-06-27,3
2022-07-04,1
2022-07-11,1
2022-07-18,5
2022-07-25,4
2022-08-01,4
2022-08-08,6
2022-08-15,6
2022-08-22,11
2022-08-29,2
2022-09-05,8
2022-09-12,6
2022-09-19,6
2022-09-26,12
2022-10-03,5
2022-10-10,11
2022-10-17,7
2022-10-24,3
2022-10-31,4
2022-11-07,4
2022-11-14,5
2022-11-21,7
2022-11-28,18
2022-12-05,2
2022-12-12,4
2022-12-19,5
2022-12-26,4
2023-01-02,2
2023-01-09,2
2023-01-16,0
2023-01-23,1
2023-01-30,2
2023-02-06,3
2023-02-13,4
2023-02-20,2
2023-02-27,2
2023-03-06,8
2023-03-13,6
2023-03-20,3
2023-03-27,5
2023-04-03,2
2023-04-10,7
2023-04-17,1
2023-04-24,2
2023-05-01,2
2023-05-08,0
2023-05-15,2
2023-05-22,0
2023-05-29,1
2023-06-05,3
2023-06-12,3
2023-06-19,2
2023-06-26,1
2023-07-03,0
2023-07-10,2
2023-07-17,5
2023-07-24,0
2023-07-31,1
2023-08-07,0
2023-08-14,4
2023-08-21,2
2023-08-28,5
2023-09-04,4
2023-09-11,5
2023-09-18,5
2023-09-25,4
2023-10-02,14
2023-10-09,9
2023-10-16,13
2023-10-23,4
2023-10-30,0
2023-11-06,4
2023-11-13,4
2023-11-20,6
2023-11-27,7
2023-12-04,6
2023-12-11,8
2023-12-18,6
2023-12-25,8
2024-01-01,8
2024-01-08,4
2024-01-15,3
2024-01-22,1
2024-01-29,1
2024-02-05,4
2024-02-12,1
2024-02-19,1
2024-02-26,2
2024-03-04,5
2024-03-11,0
