Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,3
2020-03-23,4
2020-03-30,3
2020-04-06,2
2020-04-13,2
2020-04-20,6
2020-04-27,8
2020-05-04,5
2020-05-11,3
2020-05-18,5
2020-05-25,5
2020-06-01,5
2020-06-08,6
2020-06-15,15
2020-06-22,7
2020-06-29,11
2020-07-06,15
2020-07-13,26
2020-07-20,15
2020-07-27,15
2020-08-03,15
2020-08-10,21
2020-08-17,18
2020-08-24,16
2020-08-31,17
2020-09-07,21
2020-09-14,14
2020-09-21,24
2020-09-28,5
2020-10-05,21
2020-10-12,36
2020-10-19,45
2020-10-26,59
2020-11-02,79
2020-11-09,99
2020-11-16,118
2020-11-23,100
2020-11-30,105
2020-12-07,61
2020-12-14,58
2020-12-21,47
2020-12-28,34
2021-01-04,24
2021-01-11,25
2021-01-18,23
2021-01-25,20
2021-02-01,21
2021-02-08,25
2021-02-15,33
2021-02-22,21
2021-03-01,31
2021-03-08,80
2021-03-15,110
2021-03-22,133
2021-03-29,84
2021-04-05,68
2021-04-12,60
2021-04-19,64
2021-04-26,51
2021-05-03,21
2021-05-10,30
2021-05-17,35
2021-05-24,22
2021-05-31,19
2021-06-07,14
2021-06-14,15
2021-06-21,14
2021-06-28,12
2021-07-05,16
2021-07-12,17
2021-07-19,17
2021-07-26,21
2021-08-02,26
2021-08-09,29
2021-08-16,39
2021-08-23,48
2021-08-30,43
2021-09-06,37
2021-09-13,62
2021-09-20,38
2021-09-27,61
2021-10-04,86
2021-10-11,115
2021-10-18,116
2021-10-25,111
2021-11-01,117
2021-11-08,131
2021-11-15,131
2021-11-22,122
2021-11-29,128
2021-12-06,84
2021-12-13,52
2021-12-20,44
2021-12-27,58
2022-01-03,99
2022-01-10,117
2022-01-17,165
2022-01-24,109
2022-01-31,94
2022-02-07,50
2022-02-14,30
2022-02-21,32
2022-02-28,22
2022-03-07,14
2022-03-14,16
2022-03-21,8
2022-03-28,9
2022-04-04,8
2022-04-11,9
2022-04-18,17
2022-04-25,19
2022-05-02,17
2022-05-09,45
2022-05-16,38
2022-05-23,20
2022-05-30,33
2022-06-06,20
2022-06-13,21
2022-06-20,21
2022-06-27,22
2022-07-04,29
2022-07-11,23
2022-07-18,30
2022-07-25,33
2022-08-01,37
2022-08-08,20
2022-08-15,20
2022-08-22,26
2022-08-29,16
2022-09-05,30
2022-09-12,34
2022-09-19,21
2022-09-26,13
2022-10-03,18
2022-10-10,13
2022-10-17,9
2022-10-24,8
2022-10-31,16
2022-11-07,13
2022-11-14,25
2022-11-21,9
2022-11-28,28
2022-12-05,24
2022-12-12,28
2022-12-19,14
2022-12-26,17
2023-01-02,14
2023-01-09,10
2023-01-16,11
2023-01-23,6
2023-01-30,14
2023-02-06,11
2023-02-13,4
2023-02-20,4
2023-02-27,13
2023-03-06,6
2023-03-13,11
2023-03-20,9
2023-03-27,3
2023-04-03,7
2023-04-10,6
2023-04-17,3
2023-04-24,5
2023-05-01,3
2023-05-08,5
2023-05-15,9
2023-05-22,6
2023-05-29,0
2023-06-05,4
2023-06-12,0
2023-06-19,5
2023-06-26,5
2023-07-03,2
2023-07-10,1
2023-07-17,2
2023-07-24,1
2023-07-31,3
2023-08-07,2
2023-08-14,6
2023-08-21,10
2023-08-28,8
2023-09-04,13
2023-09-11,20
2023-09-18,19
2023-09-25,9
2023-10-02,10
2023-10-09,5
2023-10-16,12
2023-10-23,13
2023-10-30,9
2023-11-06,11
2023-11-13,18
2023-11-20,29
2023-11-27,20
2023-12-04,22
2023-12-11,37
2023-12-18,30
2023-12-25,27
2024-01-01,11
2024-01-08,19
2024-01-15,13
2024-01-22,11
2024-01-29,12
2024-02-05,5
2024-02-12,8
2024-02-19,7
2024-02-26,5
2024-03-04,6
2024-03-11,0
