Week,Cases
2020-02-24,0
2020-03-02,2
2020-03-09,10
2020-03-16,41
2020-03-23,86
2020-03-30,136
2020-04-06,175
2020-04-13,195
2020-04-20,230
2020-04-27,204
2020-05-04,207
2020-05-11,232
2020-05-18,153
2020-05-25,131
2020-06-01,175
2020-06-08,138
2020-06-15,224
2020-06-22,326
2020-06-29,333
2020-07-06,349
2020-07-13,420
2020-07-20,420
2020-07-27,345
2020-08-03,398
2020-08-10,419
2020-08-17,416
2020-08-24,356
2020-08-31,294
2020-09-07,356
2020-09-14,291
2020-09-21,319
2020-09-28,169
2020-10-05,193
2020-10-12,328
2020-10-19,488
2020-10-26,663
2020-11-02,1039
2020-11-09,1172
2020-11-16,903
2020-11-23,882
2020-11-30,908
2020-12-07,697
2020-12-14,562
2020-12-21,458
2020-12-28,465
2021-01-04,505
2021-01-11,415
2021-01-18,297
2021-01-25,286
2021-02-01,247
2021-02-08,473
2021-02-15,278
2021-02-22,192
2021-03-01,238
2021-03-08,297
2021-03-15,369
2021-03-22,697
2021-03-29,715
2021-04-05,853
2021-04-12,787
2021-04-19,753
2021-04-26,722
2021-05-03,491
2021-05-10,466
2021-05-17,385
2021-05-24,280
2021-05-31,269
2021-06-07,168
2021-06-14,135
2021-06-21,117
2021-06-28,122
2021-07-05,123
2021-07-12,173
2021-07-19,246
2021-07-26,286
2021-08-02,334
2021-08-09,395
2021-08-16,422
2021-08-23,419
2021-08-30,390
2021-09-06,417
2021-09-13,446
2021-09-20,380
2021-09-27,465
2021-10-04,540
2021-10-11,587
2021-10-18,699
2021-10-25,554
2021-11-01,688
2021-11-08,683
2021-11-15,799
2021-11-22,729
2021-11-29,937
2021-12-06,701
2021-12-13,564
2021-12-20,571
2021-12-27,1193
2022-01-03,2102
2022-01-10,2192
2022-01-17,1599
2022-01-24,1350
2022-01-31,825
2022-02-07,523
2022-02-14,311
2022-02-21,192
2022-02-28,142
2022-03-07,98
2022-03-14,91
2022-03-21,113
2022-03-28,92
2022-04-04,106
2022-04-11,109
2022-04-18,200
2022-04-25,234
2022-05-02,390
2022-05-09,531
2022-05-16,512
2022-05-23,361
2022-05-30,318
2022-06-06,303
2022-06-13,224
2022-06-20,215
2022-06-27,220
2022-07-04,197
2022-07-11,246
2022-07-18,319
2022-07-25,328
2022-08-01,382
2022-08-08,354
2022-08-15,391
2022-08-22,366
2022-08-29,335
2022-09-05,267
2022-09-12,261
2022-09-19,234
2022-09-26,215
2022-10-03,252
2022-10-10,244
2022-10-17,240
2022-10-24,190
2022-10-31,195
2022-11-07,170
2022-11-14,117
2022-11-21,157
2022-11-28,212
2022-12-05,216
2022-12-12,243
2022-12-19,209
2022-12-26,169
2023-01-02,147
2023-01-09,112
2023-01-16,99
2023-01-23,98
2023-01-30,88
2023-02-06,100
2023-02-13,104
2023-02-20,87
2023-02-27,79
2023-03-06,73
2023-03-13,65
2023-03-20,62
2023-03-27,81
2023-04-03,62
2023-04-10,60
2023-04-17,59
2023-04-24,47
2023-05-01,46
2023-05-08,39
2023-05-15,28
2023-05-22,28
2023-05-29,25
2023-06-05,15
2023-06-12,13
2023-06-19,14
2023-06-26,16
2023-07-03,10
2023-07-10,21
2023-07-17,20
2023-07-24,20
2023-07-31,18
2023-08-07,38
2023-08-14,41
2023-08-21,42
2023-08-28,52
2023-09-04,87
2023-09-11,91
2023-09-18,73
2023-09-25,69
2023-10-02,46
2023-10-09,57
2023-10-16,53
2023-10-23,66
2023-10-30,51
2023-11-06,82
2023-11-13,77
2023-11-20,89
2023-11-27,102
2023-12-04,122
2023-12-11,145
2023-12-18,157
2023-12-25,176
2024-01-01,130
2024-01-08,105
2024-01-15,62
2024-01-22,67
2024-01-29,57
2024-02-05,75
2024-02-12,72
2024-02-19,95
2024-02-26,78
2024-03-04,76
2024-03-11,12
