Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,8
2020-03-23,7
2020-03-30,13
2020-04-06,9
2020-04-13,5
2020-04-20,3
2020-04-27,5
2020-05-04,10
2020-05-11,24
2020-05-18,26
2020-05-25,18
2020-06-01,18
2020-06-08,17
2020-06-15,15
2020-06-22,67
2020-06-29,103
2020-07-06,77
2020-07-13,61
2020-07-20,71
2020-07-27,37
2020-08-03,41
2020-08-10,39
2020-08-17,28
2020-08-24,26
2020-08-31,56
2020-09-07,38
2020-09-14,25
2020-09-21,37
2020-09-28,6
2020-10-05,14
2020-10-12,16
2020-10-19,40
2020-10-26,69
2020-11-02,89
2020-11-09,113
2020-11-16,135
2020-11-23,157
2020-11-30,177
2020-12-07,106
2020-12-14,88
2020-12-21,81
2020-12-28,77
2021-01-04,99
2021-01-11,85
2021-01-18,79
2021-01-25,43
2021-02-01,43
2021-02-08,92
2021-02-15,89
2021-02-22,75
2021-03-01,86
2021-03-08,165
2021-03-15,242
2021-03-22,337
2021-03-29,346
2021-04-05,317
2021-04-12,206
2021-04-19,143
2021-04-26,83
2021-05-03,35
2021-05-10,42
2021-05-17,58
2021-05-24,24
2021-05-31,26
2021-06-07,22
2021-06-14,15
2021-06-21,19
2021-06-28,12
2021-07-05,15
2021-07-12,11
2021-07-19,17
2021-07-26,33
2021-08-02,31
2021-08-09,44
2021-08-16,46
2021-08-23,45
2021-08-30,41
2021-09-06,30
2021-09-13,29
2021-09-20,64
2021-09-27,79
2021-10-04,98
2021-10-11,106
2021-10-18,114
2021-10-25,95
2021-11-01,133
2021-11-08,201
2021-11-15,247
2021-11-22,200
2021-11-29,189
2021-12-06,179
2021-12-13,114
2021-12-20,109
2021-12-27,221
2022-01-03,264
2022-01-10,303
2022-01-17,305
2022-01-24,216
2022-01-31,133
2022-02-07,97
2022-02-14,51
2022-02-21,34
2022-02-28,24
2022-03-07,19
2022-03-14,10
2022-03-21,18
2022-03-28,21
2022-04-04,19
2022-04-11,21
2022-04-18,42
2022-04-25,52
2022-05-02,46
2022-05-09,55
2022-05-16,60
2022-05-23,49
2022-05-30,32
2022-06-06,37
2022-06-13,36
2022-06-20,40
2022-06-27,38
2022-07-04,38
2022-07-11,43
2022-07-18,53
2022-07-25,38
2022-08-01,63
2022-08-08,63
2022-08-15,62
2022-08-22,69
2022-08-29,71
2022-09-05,60
2022-09-12,49
2022-09-19,51
2022-09-26,33
2022-10-03,33
2022-10-10,33
2022-10-17,33
2022-10-24,34
2022-10-31,43
2022-11-07,32
2022-11-14,25
2022-11-21,37
2022-11-28,34
2022-12-05,44
2022-12-12,79
2022-12-19,45
2022-12-26,40
2023-01-02,33
2023-01-09,15
2023-01-16,16
2023-01-23,27
2023-01-30,13
2023-02-06,17
2023-02-13,25
2023-02-20,15
2023-02-27,8
2023-03-06,12
2023-03-13,13
2023-03-20,10
2023-03-27,7
2023-04-03,11
2023-04-10,10
2023-04-17,7
2023-04-24,11
2023-05-01,10
2023-05-08,6
2023-05-15,3
2023-05-22,2
2023-05-29,2
2023-06-05,2
2023-06-12,4
2023-06-19,13
2023-06-26,20
2023-07-03,11
2023-07-10,8
2023-07-17,4
2023-07-24,5
2023-07-31,8
2023-08-07,29
2023-08-14,23
2023-08-21,13
2023-08-28,21
2023-09-04,28
2023-09-11,18
2023-09-18,19
2023-09-25,9
2023-10-02,18
2023-10-09,11
2023-10-16,5
2023-10-23,6
2023-10-30,13
2023-11-06,15
2023-11-13,17
2023-11-20,17
2023-11-27,25
2023-12-04,20
2023-12-11,26
2023-12-18,39
2023-12-25,32
2024-01-01,38
2024-01-08,24
2024-01-15,11
2024-01-22,18
2024-01-29,9
2024-02-05,23
2024-02-12,16
2024-02-19,31
2024-02-26,13
2024-03-04,4
2024-03-11,0
