Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,1
2020-03-30,0
2020-04-06,2
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,2
2020-05-11,3
2020-05-18,2
2020-05-25,3
2020-06-01,1
2020-06-08,0
2020-06-15,0
2020-06-22,0
2020-06-29,3
2020-07-06,3
2020-07-13,1
2020-07-20,7
2020-07-27,4
2020-08-03,1
2020-08-10,1
2020-08-17,3
2020-08-24,1
2020-08-31,3
2020-09-07,4
2020-09-14,9
2020-09-21,3
2020-09-28,14
2020-10-05,9
2020-10-12,11
2020-10-19,23
2020-10-26,32
2020-11-02,26
2020-11-09,13
2020-11-16,10
2020-11-23,15
2020-11-30,13
2020-12-07,7
2020-12-14,8
2020-12-21,13
2020-12-28,11
2021-01-04,7
2021-01-11,6
2021-01-18,0
2021-01-25,4
2021-02-01,6
2021-02-08,7
2021-02-15,0
2021-02-22,0
2021-03-01,8
2021-03-08,6
2021-03-15,6
2021-03-22,22
2021-03-29,28
2021-04-05,7
2021-04-12,5
2021-04-19,20
2021-04-26,29
2021-05-03,24
2021-05-10,12
2021-05-17,19
2021-05-24,5
2021-05-31,3
2021-06-07,1
2021-06-14,3
2021-06-21,1
2021-06-28,3
2021-07-05,1
2021-07-12,3
2021-07-19,1
2021-07-26,4
2021-08-02,8
2021-08-09,19
2021-08-16,15
2021-08-23,20
2021-08-30,17
2021-09-06,17
2021-09-13,28
2021-09-20,54
2021-09-27,64
2021-10-04,47
2021-10-11,47
2021-10-18,34
2021-10-25,36
2021-11-01,49
2021-11-08,40
2021-11-15,31
2021-11-22,38
2021-11-29,73
2021-12-06,51
2021-12-13,27
2021-12-20,23
2021-12-27,48
2022-01-03,85
2022-01-10,113
2022-01-17,68
2022-01-24,60
2022-01-31,59
2022-02-07,29
2022-02-14,16
2022-02-21,15
2022-02-28,5
2022-03-07,4
2022-03-14,1
2022-03-21,3
2022-03-28,3
2022-04-04,1
2022-04-11,1
2022-04-18,2
2022-04-25,5
2022-05-02,7
2022-05-09,19
2022-05-16,26
2022-05-23,11
2022-05-30,17
2022-06-06,10
2022-06-13,10
2022-06-20,8
2022-06-27,5
2022-07-04,11
2022-07-11,24
2022-07-18,23
2022-07-25,16
2022-08-01,24
2022-08-08,18
2022-08-15,6
2022-08-22,10
2022-08-29,15
2022-09-05,22
2022-09-12,8
2022-09-19,14
2022-09-26,11
2022-10-03,10
2022-10-10,13
2022-10-17,9
2022-10-24,4
2022-10-31,8
2022-11-07,6
2022-11-14,5
2022-11-21,10
2022-11-28,16
2022-12-05,16
2022-12-12,10
2022-12-19,6
2022-12-26,11
2023-01-02,7
2023-01-09,5
2023-01-16,14
2023-01-23,3
2023-01-30,2
2023-02-06,5
2023-02-13,7
2023-02-20,4
2023-02-27,1
2023-03-06,1
2023-03-13,3
2023-03-20,2
2023-03-27,5
2023-04-03,2
2023-04-10,2
2023-04-17,4
2023-04-24,1
2023-05-01,3
2023-05-08,2
2023-05-15,2
2023-05-22,0
2023-05-29,2
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,2
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,2
2023-08-07,1
2023-08-14,2
2023-08-21,2
2023-08-28,0
2023-09-04,1
2023-09-11,1
2023-09-18,4
2023-09-25,5
2023-10-02,4
2023-10-09,2
2023-10-16,2
2023-10-23,4
2023-10-30,8
2023-11-06,8
2023-11-13,4
2023-11-20,7
2023-11-27,14
2023-12-04,5
2023-12-11,3
2023-12-18,6
2023-12-25,6
2024-01-01,6
2024-01-08,3
2024-01-15,0
2024-01-22,2
2024-01-29,2
2024-02-05,1
2024-02-12,4
2024-02-19,4
2024-02-26,1
2024-03-04,3
2024-03-11,1
