Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,0
2020-03-23,8
2020-03-30,11
2020-04-06,6
2020-04-13,4
2020-04-20,10
2020-04-27,23
2020-05-04,31
2020-05-11,36
2020-05-18,44
2020-05-25,46
2020-06-01,58
2020-06-08,90
2020-06-15,101
2020-06-22,144
2020-06-29,88
2020-07-06,124
2020-07-13,84
2020-07-20,98
2020-07-27,70
2020-08-03,77
2020-08-10,86
2020-08-17,56
2020-08-24,41
2020-08-31,39
2020-09-07,48
2020-09-14,51
2020-09-21,101
2020-09-28,75
2020-10-05,97
2020-10-12,133
2020-10-19,126
2020-10-26,226
2020-11-02,326
2020-11-09,259
2020-11-16,243
2020-11-23,236
2020-11-30,243
2020-12-07,219
2020-12-14,169
2020-12-21,107
2020-12-28,219
2021-01-04,217
2021-01-11,189
2021-01-18,124
2021-01-25,118
2021-02-01,77
2021-02-08,89
2021-02-15,79
2021-02-22,90
2021-03-01,121
2021-03-08,90
2021-03-15,116
2021-03-22,161
2021-03-29,128
2021-04-05,162
2021-04-12,183
2021-04-19,169
2021-04-26,165
2021-05-03,84
2021-05-10,110
2021-05-17,77
2021-05-24,58
2021-05-31,40
2021-06-07,45
2021-06-14,24
2021-06-21,34
2021-06-28,27
2021-07-05,21
2021-07-12,26
2021-07-19,39
2021-07-26,69
2021-08-02,100
2021-08-09,85
2021-08-16,115
2021-08-23,142
2021-08-30,137
2021-09-06,168
2021-09-13,194
2021-09-20,217
2021-09-27,201
2021-10-04,219
2021-10-11,217
2021-10-18,234
2021-10-25,194
2021-11-01,225
2021-11-08,285
2021-11-15,308
2021-11-22,259
2021-11-29,286
2021-12-06,229
2021-12-13,163
2021-12-20,160
2021-12-27,214
2022-01-03,379
2022-01-10,609
2022-01-17,538
2022-01-24,355
2022-01-31,207
2022-02-07,77
2022-02-14,62
2022-02-21,40
2022-02-28,22
2022-03-07,35
2022-03-14,25
2022-03-21,14
2022-03-28,20
2022-04-04,26
2022-04-11,32
2022-04-18,21
2022-04-25,24
2022-05-02,58
2022-05-09,61
2022-05-16,48
2022-05-23,48
2022-05-30,40
2022-06-06,56
2022-06-13,56
2022-06-20,44
2022-06-27,44
2022-07-04,75
2022-07-11,68
2022-07-18,96
2022-07-25,97
2022-08-01,129
2022-08-08,99
2022-08-15,73
2022-08-22,70
2022-08-29,74
2022-09-05,66
2022-09-12,73
2022-09-19,58
2022-09-26,37
2022-10-03,32
2022-10-10,37
2022-10-17,52
2022-10-24,36
2022-10-31,31
2022-11-07,31
2022-11-14,17
2022-11-21,26
2022-11-28,33
2022-12-05,44
2022-12-12,44
2022-12-19,40
2022-12-26,34
2023-01-02,32
2023-01-09,23
2023-01-16,27
2023-01-23,20
2023-01-30,18
2023-02-06,26
2023-02-13,31
2023-02-20,23
2023-02-27,17
2023-03-06,20
2023-03-13,16
2023-03-20,13
2023-03-27,9
2023-04-03,7
2023-04-10,7
2023-04-17,4
2023-04-24,10
2023-05-01,8
2023-05-08,9
2023-05-15,5
2023-05-22,2
2023-05-29,2
2023-06-05,0
2023-06-12,2
2023-06-19,2
2023-06-26,0
2023-07-03,1
2023-07-10,1
2023-07-17,0
2023-07-24,4
2023-07-31,8
2023-08-07,6
2023-08-14,11
2023-08-21,16
2023-08-28,11
2023-09-04,19
2023-09-11,17
2023-09-18,18
2023-09-25,7
2023-10-02,8
2023-10-09,16
2023-10-16,7
2023-10-23,6
2023-10-30,4
2023-11-06,12
2023-11-13,10
2023-11-20,10
2023-11-27,39
2023-12-04,24
2023-12-11,26
2023-12-18,32
2023-12-25,34
2024-01-01,28
2024-01-08,34
2024-01-15,16
2024-01-22,9
2024-01-29,13
2024-02-05,13
2024-02-12,10
2024-02-19,16
2024-02-26,12
2024-03-04,9
2024-03-11,1
