Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,3
2020-03-23,19
2020-03-30,17
2020-04-06,27
2020-04-13,27
2020-04-20,39
2020-04-27,28
2020-05-04,53
2020-05-11,40
2020-05-18,29
2020-05-25,27
2020-06-01,32
2020-06-08,30
2020-06-15,40
2020-06-22,49
2020-06-29,36
2020-07-06,35
2020-07-13,78
2020-07-20,80
2020-07-27,56
2020-08-03,69
2020-08-10,64
2020-08-17,51
2020-08-24,100
2020-08-31,55
2020-09-07,47
2020-09-14,56
2020-09-21,55
2020-09-28,33
2020-10-05,38
2020-10-12,52
2020-10-19,102
2020-10-26,173
2020-11-02,218
2020-11-09,260
2020-11-16,250
2020-11-23,202
2020-11-30,225
2020-12-07,227
2020-12-14,124
2020-12-21,88
2020-12-28,115
2021-01-04,112
2021-01-11,66
2021-01-18,70
2021-01-25,50
2021-02-01,47
2021-02-08,100
2021-02-15,60
2021-02-22,77
2021-03-01,97
2021-03-08,126
2021-03-15,213
2021-03-22,326
2021-03-29,375
2021-04-05,377
2021-04-12,255
2021-04-19,196
2021-04-26,153
2021-05-03,83
2021-05-10,90
2021-05-17,70
2021-05-24,45
2021-05-31,25
2021-06-07,24
2021-06-14,27
2021-06-21,14
2021-06-28,26
2021-07-05,22
2021-07-12,28
2021-07-19,52
2021-07-26,54
2021-08-02,62
2021-08-09,74
2021-08-16,109
2021-08-23,95
2021-08-30,112
2021-09-06,116
2021-09-13,182
2021-09-20,185
2021-09-27,195
2021-10-04,214
2021-10-11,191
2021-10-18,194
2021-10-25,177
2021-11-01,209
2021-11-08,269
2021-11-15,280
2021-11-22,268
2021-11-29,349
2021-12-06,240
2021-12-13,170
2021-12-20,154
2021-12-27,239
2022-01-03,423
2022-01-10,558
2022-01-17,619
2022-01-24,394
2022-01-31,260
2022-02-07,146
2022-02-14,74
2022-02-21,51
2022-02-28,35
2022-03-07,26
2022-03-14,32
2022-03-21,15
2022-03-28,19
2022-04-04,27
2022-04-11,23
2022-04-18,35
2022-04-25,42
2022-05-02,71
2022-05-09,88
2022-05-16,83
2022-05-23,71
2022-05-30,61
2022-06-06,67
2022-06-13,50
2022-06-20,39
2022-06-27,41
2022-07-04,50
2022-07-11,41
2022-07-18,59
2022-07-25,72
2022-08-01,82
2022-08-08,90
2022-08-15,102
2022-08-22,98
2022-08-29,105
2022-09-05,75
2022-09-12,63
2022-09-19,44
2022-09-26,40
2022-10-03,40
2022-10-10,43
2022-10-17,61
2022-10-24,54
2022-10-31,48
2022-11-07,46
2022-11-14,38
2022-11-21,35
2022-11-28,46
2022-12-05,55
2022-12-12,48
2022-12-19,37
2022-12-26,32
2023-01-02,28
2023-01-09,27
2023-01-16,19
2023-01-23,17
2023-01-30,27
2023-02-06,20
2023-02-13,18
2023-02-20,33
2023-02-27,24
2023-03-06,25
2023-03-13,18
2023-03-20,16
2023-03-27,26
2023-04-03,22
2023-04-10,7
2023-04-17,4
2023-04-24,11
2023-05-01,10
2023-05-08,20
2023-05-15,13
2023-05-22,2
2023-05-29,7
2023-06-05,3
2023-06-12,6
2023-06-19,3
2023-06-26,4
2023-07-03,5
2023-07-10,1
2023-07-17,2
2023-07-24,2
2023-07-31,4
2023-08-07,8
2023-08-14,10
2023-08-21,13
2023-08-28,17
2023-09-04,22
2023-09-11,14
2023-09-18,19
2023-09-25,26
2023-10-02,12
2023-10-09,11
2023-10-16,34
2023-10-23,44
2023-10-30,27
2023-11-06,32
2023-11-13,33
2023-11-20,26
2023-11-27,39
2023-12-04,50
2023-12-11,36
2023-12-18,32
2023-12-25,43
2024-01-01,39
2024-01-08,23
2024-01-15,15
2024-01-22,9
2024-01-29,11
2024-02-05,12
2024-02-12,25
2024-02-19,33
2024-02-26,14
2024-03-04,11
2024-03-11,2
