Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,2
2020-03-16,6
2020-03-23,8
2020-03-30,12
2020-04-06,24
2020-04-13,22
2020-04-20,43
2020-04-27,55
2020-05-04,42
2020-05-11,44
2020-05-18,28
2020-05-25,33
2020-06-01,58
2020-06-08,47
2020-06-15,33
2020-06-22,39
2020-06-29,87
2020-07-06,75
2020-07-13,106
2020-07-20,93
2020-07-27,122
2020-08-03,116
2020-08-10,121
2020-08-17,139
2020-08-24,132
2020-08-31,96
2020-09-07,107
2020-09-14,92
2020-09-21,84
2020-09-28,70
2020-10-05,89
2020-10-12,123
2020-10-19,179
2020-10-26,255
2020-11-02,358
2020-11-09,374
2020-11-16,421
2020-11-23,269
2020-11-30,363
2020-12-07,268
2020-12-14,217
2020-12-21,127
2020-12-28,195
2021-01-04,163
2021-01-11,131
2021-01-18,123
2021-01-25,116
2021-02-01,91
2021-02-08,102
2021-02-15,75
2021-02-22,52
2021-03-01,87
2021-03-08,140
2021-03-15,201
2021-03-22,273
2021-03-29,279
2021-04-05,291
2021-04-12,300
2021-04-19,226
2021-04-26,208
2021-05-03,132
2021-05-10,92
2021-05-17,82
2021-05-24,55
2021-05-31,47
2021-06-07,30
2021-06-14,27
2021-06-21,29
2021-06-28,25
2021-07-05,18
2021-07-12,40
2021-07-19,82
2021-07-26,98
2021-08-02,95
2021-08-09,149
2021-08-16,128
2021-08-23,107
2021-08-30,105
2021-09-06,134
2021-09-13,173
2021-09-20,191
2021-09-27,256
2021-10-04,216
2021-10-11,228
2021-10-18,228
2021-10-25,233
2021-11-01,281
2021-11-08,355
2021-11-15,410
2021-11-22,325
2021-11-29,444
2021-12-06,396
2021-12-13,295
2021-12-20,274
2021-12-27,429
2022-01-03,610
2022-01-10,640
2022-01-17,572
2022-01-24,383
2022-01-31,209
2022-02-07,104
2022-02-14,61
2022-02-21,44
2022-02-28,43
2022-03-07,32
2022-03-14,23
2022-03-21,24
2022-03-28,40
2022-04-04,32
2022-04-11,39
2022-04-18,67
2022-04-25,77
2022-05-02,113
2022-05-09,125
2022-05-16,132
2022-05-23,106
2022-05-30,104
2022-06-06,95
2022-06-13,73
2022-06-20,93
2022-06-27,95
2022-07-04,81
2022-07-11,132
2022-07-18,124
2022-07-25,162
2022-08-01,130
2022-08-08,164
2022-08-15,143
2022-08-22,135
2022-08-29,108
2022-09-05,97
2022-09-12,106
2022-09-19,93
2022-09-26,63
2022-10-03,81
2022-10-10,60
2022-10-17,70
2022-10-24,68
2022-10-31,36
2022-11-07,34
2022-11-14,34
2022-11-21,32
2022-11-28,61
2022-12-05,69
2022-12-12,93
2022-12-19,71
2022-12-26,62
2023-01-02,33
2023-01-09,33
2023-01-16,41
2023-01-23,35
2023-01-30,28
2023-02-06,38
2023-02-13,47
2023-02-20,42
2023-02-27,33
2023-03-06,28
2023-03-13,38
2023-03-20,29
2023-03-27,28
2023-04-03,24
2023-04-10,12
2023-04-17,13
2023-04-24,13
2023-05-01,7
2023-05-08,7
2023-05-15,6
2023-05-22,7
2023-05-29,3
2023-06-05,2
2023-06-12,0
2023-06-19,1
2023-06-26,2
2023-07-03,4
2023-07-10,3
2023-07-17,9
2023-07-24,9
2023-07-31,8
2023-08-07,15
2023-08-14,21
2023-08-21,20
2023-08-28,18
2023-09-04,35
2023-09-11,49
2023-09-18,23
2023-09-25,26
2023-10-02,23
2023-10-09,20
2023-10-16,15
2023-10-23,16
2023-10-30,22
2023-11-06,36
2023-11-13,43
2023-11-20,57
2023-11-27,54
2023-12-04,45
2023-12-11,57
2023-12-18,54
2023-12-25,72
2024-01-01,59
2024-01-08,38
2024-01-15,20
2024-01-22,19
2024-01-29,39
2024-02-05,41
2024-02-12,40
2024-02-19,45
2024-02-26,29
2024-03-04,18
2024-03-11,4
