Week,Cases
2020-02-24,0
2020-03-02,16
2020-03-09,92
2020-03-16,222
2020-03-23,249
2020-03-30,180
2020-04-06,198
2020-04-13,127
2020-04-20,123
2020-04-27,120
2020-05-04,60
2020-05-11,72
2020-05-18,71
2020-05-25,59
2020-06-01,51
2020-06-08,62
2020-06-15,61
2020-06-22,130
2020-06-29,143
2020-07-06,200
2020-07-13,195
2020-07-20,194
2020-07-27,156
2020-08-03,155
2020-08-10,145
2020-08-17,196
2020-08-24,179
2020-08-31,188
2020-09-07,186
2020-09-14,269
2020-09-21,374
2020-09-28,238
2020-10-05,398
2020-10-12,604
2020-10-19,625
2020-10-26,588
2020-11-02,957
2020-11-09,1129
2020-11-16,1175
2020-11-23,1047
2020-11-30,1027
2020-12-07,910
2020-12-14,659
2020-12-21,588
2020-12-28,722
2021-01-04,701
2021-01-11,559
2021-01-18,577
2021-01-25,752
2021-02-01,605
2021-02-08,599
2021-02-15,437
2021-02-22,328
2021-03-01,279
2021-03-08,356
2021-03-15,559
2021-03-22,1027
2021-03-29,1219
2021-04-05,1425
2021-04-12,1004
2021-04-19,656
2021-04-26,474
2021-05-03,272
2021-05-10,236
2021-05-17,212
2021-05-24,109
2021-05-31,91
2021-06-07,93
2021-06-14,83
2021-06-21,67
2021-06-28,64
2021-07-05,93
2021-07-12,118
2021-07-19,212
2021-07-26,255
2021-08-02,373
2021-08-09,443
2021-08-16,513
2021-08-23,507
2021-08-30,611
2021-09-06,526
2021-09-13,523
2021-09-20,548
2021-09-27,681
2021-10-04,757
2021-10-11,676
2021-10-18,617
2021-10-25,672
2021-11-01,1113
2021-11-08,1231
2021-11-15,1296
2021-11-22,1331
2021-11-29,1632
2021-12-06,1303
2021-12-13,1219
2021-12-20,2195
2021-12-27,4673
2022-01-03,7226
2022-01-10,5743
2022-01-17,4042
2022-01-24,2358
2022-01-31,1291
2022-02-07,836
2022-02-14,695
2022-02-21,430
2022-02-28,346
2022-03-07,335
2022-03-14,400
2022-03-21,576
2022-03-28,838
2022-04-04,1021
2022-04-11,1248
2022-04-18,1342
2022-04-25,1589
2022-05-02,1997
2022-05-09,2070
2022-05-16,1615
2022-05-23,1407
2022-05-30,1116
2022-06-06,786
2022-06-13,678
2022-06-20,733
2022-06-27,882
2022-07-04,840
2022-07-11,845
2022-07-18,854
2022-07-25,961
2022-08-01,804
2022-08-08,747
2022-08-15,660
2022-08-22,661
2022-08-29,867
2022-09-05,831
2022-09-12,669
2022-09-19,495
2022-09-26,485
2022-10-03,437
2022-10-10,411
2022-10-17,418
2022-10-24,380
2022-10-31,425
2022-11-07,333
2022-11-14,292
2022-11-21,322
2022-11-28,408
2022-12-05,390
2022-12-12,442
2022-12-19,363
2022-12-26,339
2023-01-02,309
2023-01-09,237
2023-01-16,180
2023-01-23,197
2023-01-30,218
2023-02-06,198
2023-02-13,255
2023-02-20,228
2023-02-27,223
2023-03-06,246
2023-03-13,249
2023-03-20,286
2023-03-27,252
2023-04-03,171
2023-04-10,179
2023-04-17,116
2023-04-24,132
2023-05-01,163
2023-05-08,102
2023-05-15,90
2023-05-22,53
2023-05-29,71
2023-06-05,52
2023-06-12,61
2023-06-19,43
2023-06-26,34
2023-07-03,43
2023-07-10,43
2023-07-17,45
2023-07-24,61
2023-07-31,86
2023-08-07,129
2023-08-14,121
2023-08-21,173
2023-08-28,257
2023-09-04,305
2023-09-11,263
2023-09-18,231
2023-09-25,238
2023-10-02,142
2023-10-09,115
2023-10-16,139
2023-10-23,171
2023-10-30,139
2023-11-06,160
2023-11-13,192
2023-11-20,241
2023-11-27,296
2023-12-04,263
2023-12-11,313
2023-12-18,317
2023-12-25,302
2024-01-01,299
2024-01-08,231
2024-01-15,197
2024-01-22,151
2024-01-29,167
2024-02-05,183
2024-02-12,173
2024-02-19,161
2024-02-26,142
2024-03-04,115
2024-03-11,16
