Week,Cases
2020-02-24,4
2020-03-02,38
2020-03-09,380
2020-03-16,1292
2020-03-23,1627
2020-03-30,1914
2020-04-06,1495
2020-04-13,1162
2020-04-20,1167
2020-04-27,1153
2020-05-04,1345
2020-05-11,1185
2020-05-18,1114
2020-05-25,1097
2020-06-01,979
2020-06-08,999
2020-06-15,1006
2020-06-22,1459
2020-06-29,1501
2020-07-06,1810
2020-07-13,1961
2020-07-20,1986
2020-07-27,2192
2020-08-03,2279
2020-08-10,2162
2020-08-17,2359
2020-08-24,2042
2020-08-31,1946
2020-09-07,1875
2020-09-14,1823
2020-09-21,1585
2020-09-28,782
2020-10-05,1018
2020-10-12,1082
2020-10-19,1672
2020-10-26,2300
2020-11-02,3535
2020-11-09,4211
2020-11-16,4407
2020-11-23,4148
2020-11-30,3804
2020-12-07,2710
2020-12-14,2293
2020-12-21,1736
2020-12-28,2129
2021-01-04,1962
2021-01-11,1650
2021-01-18,1287
2021-01-25,1050
2021-02-01,1365
2021-02-08,2618
2021-02-15,1632
2021-02-22,1096
2021-03-01,1466
2021-03-08,1925
2021-03-15,3462
2021-03-22,7178
2021-03-29,6066
2021-04-05,5717
2021-04-12,4351
2021-04-19,3543
2021-04-26,3380
2021-05-03,1474
2021-05-10,1463
2021-05-17,2160
2021-05-24,1489
2021-05-31,1400
2021-06-07,1360
2021-06-14,1232
2021-06-21,1137
2021-06-28,1134
2021-07-05,1085
2021-07-12,1145
2021-07-19,1414
2021-07-26,1768
2021-08-02,2314
2021-08-09,2455
2021-08-16,2754
2021-08-23,2696
2021-08-30,1705
2021-09-06,1365
2021-09-13,1360
2021-09-20,1460
2021-09-27,1679
2021-10-04,1793
2021-10-11,2453
2021-10-18,2848
2021-10-25,2036
2021-11-01,2638
2021-11-08,3346
2021-11-15,3900
2021-11-22,3951
2021-11-29,4819
2021-12-06,4082
2021-12-13,4125
2021-12-20,7580
2021-12-27,14687
2022-01-03,17952
2022-01-10,12886
2022-01-17,7730
2022-01-24,4886
2022-01-31,3269
2022-02-07,2111
2022-02-14,1447
2022-02-21,1151
2022-02-28,1147
2022-03-07,1045
2022-03-14,1023
2022-03-21,1155
2022-03-28,1134
2022-04-04,1270
2022-04-11,1676
2022-04-18,2227
2022-04-25,2919
2022-05-02,3568
2022-05-09,4017
2022-05-16,3354
2022-05-23,2545
2022-05-30,2069
2022-06-06,1697
2022-06-13,1606
2022-06-20,1693
2022-06-27,1586
2022-07-04,1815
2022-07-11,2092
2022-07-18,2247
2022-07-25,2377
2022-08-01,2468
2022-08-08,2603
2022-08-15,2285
2022-08-22,2071
2022-08-29,1830
2022-09-05,1895
2022-09-12,2188
2022-09-19,1959
2022-09-26,1763
2022-10-03,1619
2022-10-10,1508
2022-10-17,1376
2022-10-24,1370
2022-10-31,1234
2022-11-07,1047
2022-11-14,1008
2022-11-21,1230
2022-11-28,1652
2022-12-05,1636
2022-12-12,1842
2022-12-19,1547
2022-12-26,1307
2023-01-02,1060
2023-01-09,817
2023-01-16,734
2023-01-23,673
2023-01-30,739
2023-02-06,766
2023-02-13,865
2023-02-20,851
2023-02-27,798
2023-03-06,810
2023-03-13,772
2023-03-20,743
2023-03-27,674
2023-04-03,524
2023-04-10,448
2023-04-17,314
2023-04-24,308
2023-05-01,340
2023-05-08,268
2023-05-15,217
2023-05-22,208
2023-05-29,191
2023-06-05,155
2023-06-12,172
2023-06-19,128
2023-06-26,120
2023-07-03,109
2023-07-10,123
2023-07-17,136
2023-07-24,201
2023-07-31,232
2023-08-07,235
2023-08-14,366
2023-08-21,426
2023-08-28,589
2023-09-04,675
2023-09-11,767
2023-09-18,754
2023-09-25,641
2023-10-02,527
2023-10-09,479
2023-10-16,482
2023-10-23,506
2023-10-30,517
2023-11-06,601
2023-11-13,684
2023-11-20,794
2023-11-27,946
2023-12-04,957
2023-12-11,1043
2023-12-18,1319
2023-12-25,1405
2024-01-01,1216
2024-01-08,894
2024-01-15,646
2024-01-22,636
2024-01-29,704
2024-02-05,873
2024-02-12,826
2024-02-19,665
2024-02-26,589
2024-03-04,366
2024-03-11,46
