Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,1
2020-03-23,4
2020-03-30,4
2020-04-06,2
2020-04-13,4
2020-04-20,5
2020-04-27,8
2020-05-04,12
2020-05-11,12
2020-05-18,9
2020-05-25,12
2020-06-01,15
2020-06-08,14
2020-06-15,15
2020-06-22,26
2020-06-29,88
2020-07-06,38
2020-07-13,30
2020-07-20,30
2020-07-27,35
2020-08-03,28
2020-08-10,33
2020-08-17,45
2020-08-24,33
2020-08-31,33
2020-09-07,23
2020-09-14,39
2020-09-21,22
2020-09-28,7
2020-10-05,9
2020-10-12,15
2020-10-19,32
2020-10-26,48
2020-11-02,93
2020-11-09,128
2020-11-16,100
2020-11-23,107
2020-11-30,91
2020-12-07,84
2020-12-14,52
2020-12-21,34
2020-12-28,58
2021-01-04,70
2021-01-11,66
2021-01-18,62
2021-01-25,42
2021-02-01,57
2021-02-08,121
2021-02-15,49
2021-02-22,33
2021-03-01,49
2021-03-08,167
2021-03-15,205
2021-03-22,221
2021-03-29,183
2021-04-05,174
2021-04-12,106
2021-04-19,108
2021-04-26,96
2021-05-03,54
2021-05-10,53
2021-05-17,40
2021-05-24,32
2021-05-31,21
2021-06-07,33
2021-06-14,21
2021-06-21,29
2021-06-28,22
2021-07-05,28
2021-07-12,27
2021-07-19,25
2021-07-26,35
2021-08-02,39
2021-08-09,42
2021-08-16,47
2021-08-23,37
2021-08-30,25
2021-09-06,32
2021-09-13,55
2021-09-20,64
2021-09-27,93
2021-10-04,78
2021-10-11,102
2021-10-18,131
2021-10-25,114
2021-11-01,147
2021-11-08,141
2021-11-15,151
2021-11-22,150
2021-11-29,144
2021-12-06,103
2021-12-13,93
2021-12-20,58
2021-12-27,84
2022-01-03,175
2022-01-10,237
2022-01-17,355
2022-01-24,322
2022-01-31,213
2022-02-07,123
2022-02-14,60
2022-02-21,50
2022-02-28,28
2022-03-07,19
2022-03-14,26
2022-03-21,27
2022-03-28,19
2022-04-04,17
2022-04-11,21
2022-04-18,26
2022-04-25,41
2022-05-02,43
2022-05-09,55
2022-05-16,52
2022-05-23,41
2022-05-30,45
2022-06-06,44
2022-06-13,45
2022-06-20,37
2022-06-27,27
2022-07-04,26
2022-07-11,37
2022-07-18,42
2022-07-25,44
2022-08-01,46
2022-08-08,39
2022-08-15,43
2022-08-22,36
2022-08-29,43
2022-09-05,36
2022-09-12,57
2022-09-19,33
2022-09-26,44
2022-10-03,35
2022-10-10,29
2022-10-17,26
2022-10-24,52
2022-10-31,28
2022-11-07,23
2022-11-14,21
2022-11-21,9
2022-11-28,15
2022-12-05,27
2022-12-12,18
2022-12-19,36
2022-12-26,19
2023-01-02,19
2023-01-09,18
2023-01-16,12
2023-01-23,10
2023-01-30,8
2023-02-06,12
2023-02-13,6
2023-02-20,8
2023-02-27,4
2023-03-06,12
2023-03-13,6
2023-03-20,14
2023-03-27,7
2023-04-03,7
2023-04-10,8
2023-04-17,6
2023-04-24,4
2023-05-01,4
2023-05-08,6
2023-05-15,1
2023-05-22,0
2023-05-29,1
2023-06-05,2
2023-06-12,3
2023-06-19,1
2023-06-26,1
2023-07-03,1
2023-07-10,0
2023-07-17,1
2023-07-24,0
2023-07-31,2
2023-08-07,2
2023-08-14,5
2023-08-21,4
2023-08-28,11
2023-09-04,22
2023-09-11,5
2023-09-18,8
2023-09-25,6
2023-10-02,3
2023-10-09,8
2023-10-16,6
2023-10-23,7
2023-10-30,28
2023-11-06,11
2023-11-13,9
2023-11-20,7
2023-11-27,6
2023-12-04,21
2023-12-11,17
2023-12-18,22
2023-12-25,18
2024-01-01,22
2024-01-08,8
2024-01-15,8
2024-01-22,5
2024-01-29,8
2024-02-05,6
2024-02-12,4
2024-02-19,3
2024-02-26,6
2024-03-04,8
2024-03-11,0
