ID,Age,Household Size,Occupations,Household ID
1,10,2,,7918
2,51,2,,7918
3,73,3,,21144
4,59,4,,26642
5,61,2,,7919
6,24,2,,7919
7,1,2,,7920
8,55,6,,32775
9,64,6,,32775
10,61,2,,7920
11,76,2,,7921
12,47,2,,7921
13,41,1,,1
14,49,2,,7922
15,60,2,,7922
16,20,3,FOOD,21144
17,48,3,,21144
18,36,2,,7923
19,68,5,,30586
20,19,2,,7923
21,12,5,,30586
22,51,2,,7924
23,65,1,HEALTHCARE,2
24,97,3,,21145
25,31,3,,21145
26,77,3,,21145
27,59,3,,21146
28,79,2,,7924
29,38,3,,21146
30,19,2,,7925
31,22,2,OTHER,7925
32,56,2,,7926
33,13,6,,32775
34,10,2,,7926
35,19,5,,30586
36,69,4,,26642
37,44,5,,30586
38,13,4,,26642
39,85,5,,30586
40,25,2,,7927
41,27,2,,7927
42,61,1,,3
43,38,4,,26642
44,24,2,,7928
45,50,4,HEALTHCARE,26643
46,1,6,,32775
47,61,2,,7928
48,51,2,,7929
49,41,3,,21146
50,51,2,,7929
51,54,4,,26643
52,16,5,,30587
53,73,3,,21147
54,57,1,,4
55,2,3,,21147
56,66,5,,30587
57,56,5,,30587
58,24,2,,7930
59,23,1,,5
60,13,4,,26643
61,43,5,,30587
62,16,6,,32775
63,49,6,,32775
64,34,4,,26643
65,10,2,,7930
66,27,1,,6
67,42,4,,26644
68,3,4,,26644
69,75,6,,32776
70,62,3,,21147
71,50,2,,7931
72,52,3,,21148
73,34,1,,7
74,53,2,,7931
75,64,3,,21148
76,66,3,,21148
77,20,2,,7932
78,66,2,,7932
79,97,5,,30587
80,66,3,,21149
81,88,4,,26644
82,76,2,,7933
83,70,4,,26644
84,35,1,,8
85,55,4,FOOD,26645
86,61,4,,26645
87,63,3,HEALTHCARE,21149
88,4,4,,26645
89,25,5,,30588
90,57,3,,21149
91,48,2,,7933
92,61,6,,32776
93,26,3,,21150
94,31,3,,21150
95,69,2,,7934
96,50,5,,30588
97,13,1,,9
98,15,4,,26645
99,7,5,,30588
100,94,2,,7934
101,32,3,,21150
102,98,5,,30588
103,45,2,,7935
104,44,2,,7935
105,61,6,FOOD,32776
106,4,4,,26646
107,45,6,,32776
108,60,4,HEALTHCARE,26646
109,7,2,,7936
110,16,1,,10
111,18,4,,26646
112,31,2,,7936
113,21,2,,7937
114,66,1,,11
115,0,5,,30588
116,18,2,,7937
117,19,2,,7938
118,59,4,,26646
119,45,4,,26647
120,12,2,,7938
121,63,2,,7939
122,53,4,FOOD,26647
123,59,4,,26647
124,79,3,,21151
125,44,5,,30589
126,66,2,,7939
127,44,3,,21151
128,20,3,,21151
129,77,3,,21152
130,80,1,,12
131,55,1,,13
132,54,5,,30589
133,30,2,,7940
134,44,2,,7940
135,5,1,,14
136,20,3,,21152
137,69,2,,7941
138,36,2,FINANCEINSURANCE,7941
139,3,3,,21152
140,66,4,,26647
141,55,1,,15
142,7,2,,7942
143,90,2,,7942
144,49,3,,21153
145,33,2,HEALTHCARE,7943
146,37,1,,16
147,17,6,,32776
148,67,6,,32776
149,15,2,,7943
150,59,4,,26648
151,0,4,,26648
152,13,2,,7944
153,57,3,,21153
154,45,4,,26648
155,42,2,,7944
156,57,3,,21153
157,59,4,,26648
158,45,3,FOOD,21154
159,47,4,,26649
160,20,2,HEALTHCARE,7945
161,59,4,,26649
162,61,2,FOOD,7945
163,15,1,,17
164,74,4,,26649
165,5,4,,26649
166,76,3,,21154
167,96,6,,32777
168,52,6,,32777
169,42,4,,26650
170,34,2,,7946
171,29,3,,21154
172,21,3,,21155
173,24,5,,30589
174,62,2,SCIENTIFICTECHNICAL,7946
175,58,2,,7947
176,53,1,,18
177,37,4,,26650
178,62,6,,32777
179,64,5,,30589
180,59,2,,7947
181,69,3,,21155
182,29,5,,30589
183,51,2,,7948
184,59,1,,19
185,8,2,,7948
186,87,6,,32777
187,44,2,,7949
188,57,2,,7949
189,48,3,,21155
190,76,6,,32777
191,17,2,,7950
192,73,2,,7950
193,5,1,,20
194,61,2,,7951
195,18,5,WASTEMANAGEMENT,30590
196,68,3,,21156
197,78,3,,21156
198,39,2,FOOD,7951
199,66,1,,21
200,56,2,,7952
201,54,6,,32777
202,56,4,,26650
203,78,3,,21156
204,33,2,,7952
205,47,2,,7953
206,6,3,,21157
207,52,2,,7953
208,51,2,,7954
209,67,4,,26650
210,66,3,,21157
211,27,5,,30590
212,33,5,,30590
213,29,5,,30590
214,25,1,,22
215,70,4,,26651
216,45,2,,7954
217,82,5,,30590
218,12,3,,21157
219,2,2,,7955
220,0,6,,32778
221,35,4,,26651
222,79,1,,23
223,44,1,,24
224,30,4,,26651
225,68,3,,21158
226,41,5,,30591
227,57,2,,7955
228,42,1,HEALTHCARE,25
229,79,5,,30591
230,49,5,,30591
231,78,4,,26651
232,38,4,,26652
233,54,2,,7956
234,58,2,,7956
235,54,4,,26652
236,26,6,,32778
237,50,3,,21158
238,57,3,,21158
239,60,5,,30591
240,35,3,,21159
241,19,6,,32778
242,8,4,,26652
243,12,6,,32778
244,57,6,,32778
245,24,5,,30591
246,45,2,HEALTHCARE,7957
247,26,5,FOOD,30592
248,20,3,,21159
249,64,3,HEALTHCARE,21159
250,3,2,,7957
251,21,6,FOOD,32778
252,18,2,,7958
253,48,6,FINANCEINSURANCE,32779
254,75,4,,26652
255,15,3,,21160
256,77,1,,26
257,15,3,,21160
258,34,1,,27
259,30,4,,26653
260,14,4,,26653
261,18,4,,26653
262,27,3,,21160
263,76,3,,21161
264,23,2,HEALTHCARE,7958
265,59,1,,28
266,69,4,,26653
267,54,3,,21161
268,56,4,,26654
269,22,5,,30592
270,41,4,,26654
271,10,5,,30592
272,60,6,,32779
273,47,2,,7959
274,35,1,,29
275,44,4,,26654
276,53,5,,30592
277,61,5,FINANCEINSURANCE,30592
278,29,3,,21161
279,50,3,HEALTHCARE,21162
280,40,2,,7959
281,51,1,,30
282,53,2,,7960
283,58,3,,21162
284,90,6,,32779
285,68,1,,31
286,22,4,,26654
287,21,2,,7960
288,17,4,,26655
289,28,6,WASTEMANAGEMENT,32779
290,50,4,HEALTHCARE,26655
291,28,5,,30593
292,27,1,,32
293,55,1,,33
294,74,4,,26655
295,57,3,,21162
296,77,6,,32779
297,55,6,,32779
298,1,6,,32780
299,35,3,,21163
300,30,2,,7961
301,7,2,,7961
302,21,1,WASTEMANAGEMENT,34
303,81,4,,26655
304,59,2,,7962
305,9,3,,21163
306,57,1,,35
307,70,4,,26656
308,52,1,,36
309,13,2,,7962
310,14,4,,26656
311,33,5,,30593
312,12,4,,26656
313,44,2,,7963
314,22,2,WASTEMANAGEMENT,7963
315,16,5,,30593
316,24,6,,32780
317,0,4,,26656
318,33,2,FOOD,7964
319,57,4,,26657
320,69,4,,26657
321,51,4,,26657
322,2,3,,21163
323,52,6,,32780
324,64,6,,32780
325,58,2,,7964
326,41,4,,26657
327,50,1,,37
328,30,4,SCIENTIFICTECHNICAL,26658
329,22,5,,30593
330,76,2,,7965
331,11,1,,38
332,2,2,,7965
333,49,2,HEALTHCARE,7966
334,1,2,,7966
335,30,2,HEALTHCARE,7967
336,39,2,,7967
337,3,3,,21164
338,53,3,,21164
339,50,2,,7968
340,51,4,,26658
341,62,5,,30593
342,28,3,,21164
343,18,2,WASTEMANAGEMENT,7968
344,52,4,,26658
345,31,2,,7969
346,67,3,,21165
347,23,3,,21165
348,51,1,,39
349,5,3,,21165
350,25,5,,30594
351,15,4,,26658
352,10,2,,7969
353,20,4,,26659
354,72,4,,26659
355,52,2,FOOD,7970
356,51,6,,32780
357,77,1,,40
358,55,3,,21166
359,34,4,,26659
360,6,2,,7970
361,20,4,,26659
362,82,3,,21166
363,67,3,,21166
364,6,4,,26660
365,33,2,,7971
366,60,2,,7971
367,49,2,,7972
368,64,2,,7972
369,8,1,,41
370,11,2,,7973
371,52,5,HEALTHCARE,30594
372,16,1,,42
373,17,6,,32780
374,39,5,,30594
