time_value,geo_value,cases,deaths,doctor_visits,wili,wcli
2020-02-02,52030,0.0,0.0,0.0,0.0,0.0
2020-02-09,182105,0.0,0.0,0.0,0.0,0.0
2020-02-16,182105,0.0,0.0,0.0,0.0,0.0
2020-02-23,182105,0.0,0.0,0.0,0.0,0.0
2020-03-01,182105,0.0,0.0,0.378115,0.0,0.0
2020-03-08,182105,0.0,0.0,0.0,0.0,0.0
2020-03-15,182105,0.0,0.0,0.0,0.0,0.0
2020-03-22,182105,1.0,0.0,0.0,0.0,0.0
2020-03-29,182105,0.0,0.0,0.0,0.0,0.0
2020-04-05,182105,5.0,0.0,0.599561,0.0,0.0
2020-04-12,182105,2.0,0.0,6.560571,3.0592142,4.0748493
2020-04-19,182105,17.0,1.0,11.029853000000001,2.830917,3.0509622
2020-04-26,182105,4.0,0.0,0.785182,1.1838007,1.374979
2020-05-03,182105,8.0,0.0,4.903665,3.5581009999999997,3.5581009999999997
2020-05-10,182105,11.0,0.0,12.174461,1.3877594,1.3877594
2020-05-17,182105,8.0,0.0,10.019089,1.5812095,1.5812095
2020-05-24,182105,4.0,1.0,5.9435210000000005,1.8340347,1.8808812
2020-05-31,182105,3.0,0.0,5.339472,2.5509467,2.8399713
2020-06-07,182105,24.0,0.0,6.40198,2.1131498,2.4865737
2020-06-14,182105,4.0,0.0,4.824209,0.0,0.15112
2020-06-21,182105,3.0,0.0,8.023426,2.0570844,2.0570844
2020-06-28,182105,3.0,0.0,19.552953,2.1087093,2.1087093
2020-07-05,182105,18.0,0.0,27.355487,0.0,0.0
2020-07-12,182105,19.0,0.0,28.618115,1.7480474,1.7480474
2020-07-19,182105,19.0,0.0,27.754724,3.825188,3.825188
2020-07-26,182105,17.0,0.0,13.701583,2.7894579,1.829521
2020-08-02,182105,1.0,0.0,15.765632,1.3151091,1.3151091
2020-08-09,182105,10.0,0.0,21.161671,1.5237667000000001,1.5237667000000001
2020-08-16,182105,17.0,0.0,14.343255000000001,0.0,0.0
2020-08-23,182105,5.0,0.0,10.752717,0.0,0.0
2020-08-30,182105,12.0,0.0,12.246407,0.0,0.0
2020-09-06,182105,10.0,0.0,7.1489840000000004,0.0,0.0
2020-09-13,182105,32.0,0.0,12.065294999999999,0.0,0.0
2020-09-20,182105,15.0,0.0,15.289178,0.0,0.0
2020-09-27,182105,34.0,2.0,14.388039,0.0,0.0
2020-10-04,182105,41.0,0.0,22.207287,0.0,0.0
2020-10-11,182105,67.0,0.0,26.384037,0.0,0.0
2020-10-18,182105,101.0,1.0,35.065296000000004,0.0,0.0
2020-10-25,182105,111.0,0.0,32.978268,0.0,0.0
2020-11-01,182105,177.0,1.0,44.449396,0.0,0.0
2020-11-08,182105,178.0,2.0,41.882322,0.0,0.0
