area,gender,age,count,region
BK0101,female,20t29,3396,BK
BK0101,male,20t29,3327,BK
BK0102,female,20t29,7410,BK
BK0102,male,20t29,6867,BK
BK0103,female,20t29,2480,BK
BK0103,male,20t29,2549,BK
BK0104,female,20t29,5677,BK
BK0104,male,20t29,6855,BK
BK0201,female,20t29,1508,BK
BK0201,male,20t29,1733,BK
BK0202,female,20t29,3554,BK
BK0202,male,20t29,3669,BK
BK0203,female,20t29,3148,BK
BK0203,male,20t29,2917,BK
BK0204,female,20t29,2336,BK
BK0204,male,20t29,2560,BK
BK0301,female,20t29,8975,BK
BK0301,male,20t29,8975,BK
BK0302,female,20t29,8722,BK
BK0302,male,20t29,8313,BK
BK0401,female,20t29,8277,BK
BK0401,male,20t29,8310,BK
BK0402,female,20t29,7611,BK
BK0402,male,20t29,7370,BK
BK0501,female,20t29,2885,BK
BK0501,male,20t29,2930,BK
BK0502,female,20t29,2940,BK
BK0502,male,20t29,3274,BK
BK0503,female,20t29,4081,BK
BK0503,male,20t29,3722,BK
BK0504,female,20t29,740,BK
BK0504,male,20t29,980,BK
BK0505,female,20t29,3466,BK
BK0505,male,20t29,3665,BK
BK0601,female,20t29,3714,BK
BK0601,male,20t29,3345,BK
BK0602,female,20t29,3720,BK
BK0602,male,20t29,3297,BK
BK0701,female,20t29,1100,BK
BK0701,male,20t29,1181,BK
BK0702,female,20t29,3855,BK
BK0702,male,20t29,3948,BK
BK0703,female,20t29,2759,BK
BK0703,male,20t29,2837,BK
BK0801,female,20t29,1772,BK
BK0801,male,20t29,1315,BK
BK0802,female,20t29,8586,BK
BK0802,male,20t29,9413,BK
BK0901,female,20t29,4053,BK
BK0901,male,20t29,5179,BK
BK0902,female,20t29,4059,BK
BK0902,male,20t29,4042,BK
BK1001,female,20t29,4873,BK
BK1001,male,20t29,5788,BK
BK1002,female,20t29,2301,BK
BK1002,male,20t29,2744,BK
BK1101,female,20t29,6502,BK
BK1101,male,20t29,6450,BK
BK1102,female,20t29,1616,BK
BK1102,male,20t29,1918,BK
BK1103,female,20t29,3610,BK
BK1103,male,20t29,3756,BK
BK1201,female,20t29,1567,BK
BK1201,male,20t29,1677,BK
BK1202,female,20t29,5562,BK
BK1202,male,20t29,5764,BK
BK1203,female,20t29,1795,BK
BK1203,male,20t29,2749,BK
BK1204,female,20t29,2152,BK
BK1204,male,20t29,2494,BK
BK1301,female,20t29,1494,BK
BK1301,male,20t29,1604,BK
BK1302,female,20t29,2585,BK
BK1302,male,20t29,3057,BK
BK1303,female,20t29,1569,BK
BK1303,male,20t29,1607,BK
BK1401,female,20t29,6388,BK
BK1401,male,20t29,5664,BK
BK1402,female,20t29,2664,BK
BK1402,male,20t29,2943,BK
BK1403,female,20t29,2797,BK
BK1403,male,20t29,3488,BK
BK1501,female,20t29,3336,BK
BK1501,male,20t29,3416,BK
