area,ethnicity,count,region
BK0101,asian,1464,BK
BK0101,black,937,BK
BK0101,hispanic,5498,BK
BK0101,native,22,BK
BK0101,other,2324,BK
BK0101,white,27273,BK
BK0102,asian,4905,BK
BK0102,black,1395,BK
BK0102,hispanic,18908,BK
BK0102,native,11,BK
BK0102,other,3270,BK
BK0102,white,34827,BK
BK0103,asian,237,BK
BK0103,black,1571,BK
BK0103,hispanic,3957,BK
BK0103,native,0,BK
BK0103,other,681,BK
BK0103,white,40619,BK
BK0104,asian,4865,BK
BK0104,black,6439,BK
BK0104,hispanic,20099,BK
BK0104,native,58,BK
BK0104,other,1715,BK
BK0104,white,20302,BK
BK0201,asian,1846,BK
BK0201,black,1337,BK
BK0201,hispanic,1722,BK
BK0201,native,78,BK
BK0201,other,1327,BK
BK0201,white,18465,BK
BK0202,asian,6764,BK
BK0202,black,5868,BK
BK0202,hispanic,6002,BK
BK0202,native,65,BK
BK0202,other,1846,BK
BK0202,white,18001,BK
BK0203,asian,3771,BK
BK0203,black,10579,BK
BK0203,hispanic,5635,BK
BK0203,native,193,BK
BK0203,other,2909,BK
BK0203,white,11964,BK
BK0204,asian,1949,BK
BK0204,black,7539,BK
BK0204,hispanic,3659,BK
BK0204,native,14,BK
BK0204,other,1395,BK
BK0204,white,12812,BK
BK0261,asian,0,BK
BK0261,black,0,BK
BK0261,hispanic,0,BK
BK0261,native,0,BK
BK0261,other,0,BK
BK0261,white,0,BK
BK0301,asian,3286,BK
BK0301,black,31086,BK
BK0301,hispanic,17365,BK
BK0301,native,79,BK
BK0301,other,3454,BK
BK0301,white,33954,BK
BK0302,asian,2832,BK
BK0302,black,55966,BK
BK0302,hispanic,15285,BK
BK0302,native,102,BK
BK0302,other,3814,BK
BK0302,white,14299,BK
BK0401,asian,4056,BK
BK0401,black,3134,BK
BK0401,hispanic,29472,BK
BK0401,native,128,BK
BK0401,other,1849,BK
BK0401,white,16517,BK
BK0402,asian,2619,BK
BK0402,black,15746,BK
BK0402,hispanic,31599,BK
BK0402,native,77,BK
BK0402,other,2348,BK
BK0402,white,10598,BK
BK0471,asian,0,BK
BK0471,black,0,BK
BK0471,hispanic,0,BK
BK0471,native,0,BK
BK0471,other,0,BK
BK0471,white,0,BK
BK0501,asian,1883,BK
BK0501,black,7783,BK
BK0501,hispanic,29889,BK
BK0501,native,53,BK
BK0501,other,1343,BK
BK0501,white,1804,BK
BK0502,asian,1488,BK
BK0502,black,25051,BK
BK0502,hispanic,15425,BK
BK0502,native,38,BK
BK0502,other,1858,BK
BK0502,white,981,BK
BK0503,asian,733,BK
BK0503,black,36401,BK
